Directory;Absolute Time spent on Inspection Group 'all', s;Percent of Time spent on Inspection Group 'all';Inspections Problem Count in Group 'all';Times Inspection from Group 'all' was Performed
/data/project;10.33;100.00%;255;20002
/data/project/src;5.27;51.05%;238;18000
/data/project/src/main;5.24;50.74%;238;17955
/data/project/src/main/java/simple;4.47;43.25%;238;17808
/data/project/src/main/java/simple/automation;4.17;40.34%;233;17472
/data/project/src/main/resources;0.77;7.49%;0;147
/data/project/src/main/resources/kuberapp/rest-test;0.74;7.18%;0;138
/data/project/src/main/resources/kuberapp/rest-test/src/main/resources;0.00;0.03%;0;28
/data/project/src/main/resources/kuberapp/rest-test/src/main/resources/deploy;0.00;0.03%;0;18
/data/project/src/main/resources/kuberapp/rest-test/gradle/wrapper;0.00;0.00%;0;10
/data/project/src/test/resources;0.03;0.30%;0;45
/data/project/qodana-results/log;2.31;22.37%;0;1148
/data/project/qodana-results/log/indexing-diagnostic;1.58;15.26%;0;967
/data/project/qodana-results/log/indexing-diagnostic/project.15375f63;1.38;13.35%;0;958
/data/project/qodana-results/log/telemetry;0.01;0.13%;0;55
/data/project/qodana-results/log/qodana;0.01;0.10%;0;8
/data/project/gradle/wrapper;0.05;0.45%;0;10
/data/project/.allure/allure-2.8.1;0.02;0.21%;0;308
/data/project/.allure/allure-2.8.1/plugins;0.02;0.19%;0;242
/data/project/.allure/allure-2.8.1/plugins/custom-logo-plugin;0.01;0.05%;0;112
/data/project/.allure/allure-2.8.1/plugins/custom-logo-plugin/static;0.00;0.04%;0;102
/data/project/.allure/allure-2.8.1/plugins/screen-diff-plugin;0.00;0.02%;0;26
/data/project/.allure/allure-2.8.1/plugins/screen-diff-plugin/static;0.00;0.02%;0;16
/data/project/.allure/allure-2.8.1/plugins/behaviors-plugin;0.00;0.02%;0;18
/data/project/.allure/allure-2.8.1/plugins/behaviors-plugin/static;0.00;0.01%;0;8
/data/project/.allure/allure-2.8.1/plugins/packages-plugin;0.00;0.02%;0;18
/data/project/.allure/allure-2.8.1/plugins/packages-plugin/static;0.00;0.00%;0;8
/data/project/.allure/allure-2.8.1/plugins/xray-plugin;0.00;0.02%;0;10
/data/project/.allure/allure-2.8.1/plugins/xctest-plugin;0.00;0.02%;0;10
/data/project/.allure/allure-2.8.1/plugins/junit-xml-plugin;0.00;0.01%;0;10
/data/project/.allure/allure-2.8.1/plugins/jira-plugin;0.00;0.01%;0;10
/data/project/.allure/allure-2.8.1/plugins/trx-plugin;0.00;0.01%;0;10
/data/project/.allure/allure-2.8.1/plugins/xunit-xml-plugin;0.00;0.00%;0;10
/data/project/.allure/allure-2.8.1/config;0.00;0.02%;0;30
/data/project/.allure/allure-2.8.1/lib/config;0.00;0.00%;0;20
/data/project/.allure/allure-2.8.1/bin;0.00;0.00%;0;16
/data/project/.github/workflows;0.00;0.01%;0;10
/data/project/.claude;0.00;0.01%;0;9
