# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
Indexing.totalTimeIndexersSleptMs,1774356784067000000,1774356844308000000,9099
Indexing.cache.totalCacheMisses,1774356784067000000,1774356844308000000,1863776
Indexing.writesQueuedMin,1774356784067000000,1774356844308000000,1147
Indexing.writesQueuedAvg,1774356784067000000,1774356844308000000,1147.0
Indexing.writer_3.totalTimeSpentWritingMs,1774356784067000000,1774356844308000000,2408
Indexing.writer_1.totalTimeSpentWritingMs,1774356784067000000,1774356844308000000,318
Indexing.cache.totalCacheEvicted,1774356784067000000,1774356844308000000,1751173
Indexing.writer_2.totalTimeSpentWritingMs,1774356784067000000,1774356844308000000,2669
Indexing.writer_0.totalTimeSpentWritingMs,1774356784067000000,1774356844308000000,5575
Indexing.cache.totalCacheAccesses,1774356784067000000,1774356844308000000,8149894
Indexing.writesQueuedMax,1774356784067000000,1774356844308000000,1147
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1774356784067000000,1774356844308000000,0
workspaceModel.update.unloaded.entities.ms,1774356784067000000,1774356844308000000,0
workspaceModel.check.recursive.update.ms,1774356784067000000,1774356844308000000,0
workspaceModel.on.changed.ms,1774356784067000000,1774356844308000000,107
workspaceModel.pre.handlers.ms,1774356784067000000,1774356844308000000,0
workspaceModel.cachedValue.clear.count,1774356784067000000,1774356844308000000,2
workspaceModel.updates.ms,1774356784067000000,1774356844308000000,117
workspaceModel.loading.total.ms,1774356784067000000,1774356844308000000,2
workspaceModel.on.before.changed.ms,1774356784067000000,1774356844308000000,59
workspaceModel.workspaceFileIndexData.init.ms,1774356784067000000,1774356844308000000,4
workspaceModel.init.bridges.ms,1774356784067000000,1774356844308000000,20
workspaceModel.workspaceFileIndexData.instances.count,1774356784067000000,1774356844308000000,1
workspaceModel.cachedValueWithParameters.calculated.count,1774356784067000000,1774356844308000000,0
workspaceModel.full.replace.project.model.ms,1774356784067000000,1774356844308000000,55
workspaceModel.updates.count,1774356784067000000,1774356844308000000,6
workspaceModel.initializing.ms,1774356784067000000,1774356844308000000,13
workspaceModel.workspaceFileIndexData.markDirty.ms,1774356784067000000,1774356844308000000,0
workspaceModel.cachedValue.total.get.count,1774356784067000000,1774356844308000000,2605
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1774356784067000000,1774356844308000000,108
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1774356784067000000,1774356844308000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1774356784067000000,1774356844308000000,29
workspaceModel.to.snapshot.ms,1774356784067000000,1774356844308000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1774356784067000000,1774356844308000000,0
workspaceModel.loading.from.cache.ms,1774356784067000000,1774356844308000000,0
workspaceModel.cachedValueWithParameters.clear.count,1774356784067000000,1774356844308000000,0
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1774356784067000000,1774356844308000000,362
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1774356784067000000,1774356844308000000,36
workspaceModel.updates.precise.ms,1774356784067000000,1774356844308000000,10
workspaceModel.cachedValue.from.cache.count,1774356784067000000,1774356844308000000,2560
workspaceModel.cachedValueWithParameters.from.cache.count,1774356784067000000,1774356844308000000,0
workspaceModel.collect.changes.ms,1774356784067000000,1774356844308000000,0
workspaceModel.cachedValueWithParameters.total.get.count,1774356784067000000,1774356844308000000,0
workspaceModel.replace.project.model.ms,1774356784067000000,1774356844308000000,66
workspaceModel.cachedValue.calculated.count,1774356784067000000,1774356844308000000,45
workspaceModel.workspaceFileIndexData.getPackageName.ms,1774356784067000000,1774356844308000000,0
workspaceModel.entityStorageSnapshotImpl.instances.count,1774356784067000000,1774356844308000000,40
workspaceModel.moduleBridgeLoader.loading.modules.ms,1774356784067000000,1774356844308000000,14
workspaceModel.mutableEntityStorage.has.same.entities.ms,1774356784067000000,1774356844308000000,1
workspaceModel.mutableEntityStorage.add.entity.ms,1774356784067000000,1774356844308000000,52
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1774356784067000000,1774356844308000000,1
workspaceModel.do.save.caches.ms,1774356784067000000,1774356844308000000,38
jps.global.handle.changed.events.ms,1774356784067000000,1774356844308000000,0
jps.modifiable.module.model.bridge.new.module.ms,1774356784067000000,1774356844308000000,8
jps.module.iml.entities.serializer.save.entities.ms,1774356784067000000,1774356844308000000,0
workspaceModel.load.cache.metadata.from.file.ms,1774356784067000000,1774356844308000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1774356784067000000,1774356844308000000,26
jps.facet.change.listener.init.bridge.ms,1774356784067000000,1774356844308000000,2
jps.reload.project.entities.ms,1774356784067000000,1774356844308000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1774356784067000000,1774356844308000000,0
workspaceModel.sync.entities.ms,1774356784067000000,1774356844308000000,3
workspaceModel.moduleManagerBridge.create.module.instance.ms,1774356784067000000,1774356844308000000,4
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1774356784067000000,1774356844308000000,4
workspaceModel.mutableEntityStorage.resolve.ms,1774356784067000000,1774356844308000000,0
jps.module.iml.entities.serializer.load.entities.ms,1774356784067000000,1774356844308000000,29
workspaceModel.orphan.listener.update.ms,1774356784067000000,1774356844308000000,2
jps.global.get.library.by.name.ms,1774356784067000000,1774356844308000000,0
workspaceModel.moduleBridge.before.changed.ms,1774356784067000000,1774356844308000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1774356784067000000,1774356844308000000,1
workspaceModel.mutableEntityStorage.collect.changes.ms,1774356784067000000,1774356844308000000,1
workspaceModel.global.updates.ms,1774356784067000000,1774356844308000000,19
workspaceModel.mutableEntityStorage.hasReferrers.ms,1774356784067000000,1774356844308000000,0
jps.load.project.to.empty.storage.ms,1774356784067000000,1774356844308000000,126
jps.app.storage.content.reader.load.component.ms,1774356784067000000,1774356844308000000,1
workspaceModel.moduleManagerBridge.get.modules.ms,1774356784067000000,1774356844308000000,1
workspaceModel.moduleBridge.update.option.ms,1774356784067000000,1774356844308000000,0
jps.modifiable.module.model.bridge.disposing.ms,1774356784067000000,1774356844308000000,0
jps.load.initial.state.ms,1774356784067000000,1774356844308000000,18
workspaceModel.mutableEntityStorage.entities.by.source.ms,1774356784067000000,1774356844308000000,5
