"Dependency","Version","License"
"apiguardian-api","1.1.0","Apache-2.0"
"aspectjrt","1.9.6","EPL-1.0"
"aspectjweaver","1.9.6","EPL-1.0"
"assertj-core","3.19.0","Apache-2.0"
"async-http-client-netty-utils","2.12.2","Apache-2.0"
"async-http-client","2.12.2","Apache-2.0"
"auto-common","0.10","Apache-2.0"
"auto-service-annotations","1.0-rc7","Apache-2.0"
"auto-service","1.0-rc7","Apache-2.0"
"byte-buddy","1.10.19","Apache-2.0"
"checker-qual","3.5.0","MIT"
"commons-exec","1.3","Apache-2.0"
"config","1.4.1","Apache-2.0"
"error_prone_annotations","2.3.4","Apache-2.0"
"failureaccess","1.0.1","Apache-2.0"
"guava","30.1-jre","Apache-2.0"
"j2objc-annotations","1.3","Apache-2.0"
"jakarta.activation","1.2.2","BSD-3-Clause"
"jsr305","3.0.2","Apache-2.0"
"junit-jupiter-api","5.7.0","EPL-2.0"
"junit-jupiter-engine","5.7.0","EPL-2.0"
"junit-jupiter-params","5.7.0","EPL-2.0"
"junit-platform-commons","1.7.0","EPL-2.0"
"junit-platform-engine","1.7.0","EPL-2.0"
"junit-platform-launcher","1.7.0","EPL-2.0"
"listenablefuture","9999.0-empty-to-avoid-conflict-with-guava","Apache-2.0"
"lombok","1.18.16","MIT"
"lombok","1.18.28","BSD-3-CLAUSE-NO-TRADEMARK AND MIT"
"netty-buffer","4.1.58.final","Apache-2.0"
"netty-codec-http","4.1.58.final","Apache-2.0"
"netty-codec-socks","4.1.53.final","Apache-2.0"
"netty-codec","4.1.58.final","Apache-2.0"
"netty-common","4.1.58.final","Apache-2.0"
"netty-handler-proxy","4.1.53.final","Apache-2.0"
"netty-handler","4.1.58.final","Apache-2.0"
"netty-reactive-streams","2.0.4","Apache-2.0"
"netty-resolver","4.1.58.final","Apache-2.0"
"netty-transport-native-epoll","4.1.53.final","Apache-2.0"
"netty-transport-native-epoll","4.1.58.final","Apache-2.0"
"netty-transport-native-kqueue","4.1.53.final","Apache-2.0"
"netty-transport-native-kqueue","4.1.58.final","Apache-2.0"
"netty-transport-native-unix-common","4.1.58.final","Apache-2.0"
"netty-transport","4.1.58.final","Apache-2.0"
"opentelemetry-api-metrics","0.14.1-alpha","Apache-2.0"
"opentelemetry-api","0.14.1","Apache-2.0"
"opentelemetry-context","0.14.1","Apache-2.0"
"opentelemetry-exporter-logging","0.14.1","Apache-2.0"
"opentelemetry-sdk-common","0.14.1","Apache-2.0"
"opentelemetry-sdk-metrics","0.14.1-alpha","Apache-2.0"
"opentelemetry-sdk-trace","0.14.1","Apache-2.0"
"opentelemetry-sdk","0.14.1","Apache-2.0"
"opentelemetry-semconv","0.14.1","Apache-2.0"
"opentest4j","1.2.0","Apache-2.0"
"reactive-streams","1.0.3","CC0-1.0"
"selenium-api","4.0.0-beta-1","Apache-2.0"
"selenium-chrome-driver","4.0.0-beta-1","Apache-2.0"
"selenium-chromium-driver","4.0.0-beta-1","Apache-2.0"
"selenium-devtools-v86","4.0.0-beta-1","Apache-2.0"
"selenium-devtools-v87","4.0.0-beta-1","Apache-2.0"
"selenium-devtools-v88","4.0.0-beta-1","Apache-2.0"
"selenium-devtools-v89","4.0.0-beta-1","Apache-2.0"
"selenium-devtools","4.0.0-beta-1","Apache-2.0"
"selenium-edge-driver","4.0.0-beta-1","Apache-2.0"
"selenium-firefox-driver","4.0.0-beta-1","Apache-2.0"
"selenium-firefox-xpi-driver","4.0.0-beta-1","Apache-2.0"
"selenium-http","4.0.0-beta-1","Apache-2.0"
"selenium-ie-driver","4.0.0-beta-1","Apache-2.0"
"selenium-java","4.0.0-beta-1","Apache-2.0"
"selenium-json","4.0.0-beta-1","Apache-2.0"
"selenium-opera-driver","4.0.0-beta-1","Apache-2.0"
"selenium-remote-driver","4.0.0-beta-1","Apache-2.0"
"selenium-safari-driver","4.0.0-beta-1","Apache-2.0"
"selenium-support","4.0.0-beta-1","Apache-2.0"
"slf4j-api","1.7.30","MIT"
