Directory;Absolute Time spent on Inspection Group 'all', s;Percent of Time spent on Inspection Group 'all';Inspections Problem Count in Group 'all';Times Inspection from Group 'all' was Performed
/data/project;21.77;100.00%;18;2775
/data/project/.allure/allure-2.8.1;14.97;68.79%;0;214
/data/project/.allure/allure-2.8.1/plugins;14.97;68.79%;0;180
/data/project/.allure/allure-2.8.1/plugins/packages-plugin;7.48;34.38%;0;11
/data/project/.allure/allure-2.8.1/plugins/packages-plugin/static;3.73;17.12%;0;5
/data/project/.allure/allure-2.8.1/plugins/xctest-plugin;7.48;34.37%;0;6
/data/project/.allure/allure-2.8.1/plugins/behaviors-plugin;0.01;0.04%;0;10
/data/project/.allure/allure-2.8.1/plugins/behaviors-plugin/static;0.00;0.00%;0;4
/data/project/.allure/allure-2.8.1/plugins/screen-diff-plugin;0.00;0.00%;0;14
/data/project/.allure/allure-2.8.1/plugins/screen-diff-plugin/static;0.00;0.00%;0;8
/data/project/.allure/allure-2.8.1/plugins/custom-logo-plugin;0.00;0.00%;0;110
/data/project/.allure/allure-2.8.1/plugins/custom-logo-plugin/static;0.00;0.00%;0;105
/data/project/.allure/allure-2.8.1/plugins/xunit-xml-plugin;0.00;0.00%;0;5
/data/project/.allure/allure-2.8.1/plugins/junit-xml-plugin;0.00;0.00%;0;5
/data/project/.allure/allure-2.8.1/plugins/xray-plugin;0.00;0.00%;0;5
/data/project/.allure/allure-2.8.1/plugins/jira-plugin;0.00;0.00%;0;5
/data/project/.allure/allure-2.8.1/plugins/trx-plugin;0.00;0.00%;0;5
/data/project/.allure/allure-2.8.1/config;0.00;0.00%;0;16
/data/project/.allure/allure-2.8.1/lib/config;0.00;0.00%;0;10
/data/project/.allure/allure-2.8.1/bin;0.00;0.00%;0;8
/data/project/.gradle;3.74;17.17%;0;35
/data/project/.gradle/6.8.3;3.74;17.17%;0;5
/data/project/.gradle/configuration-cache;0.00;0.00%;0;5
/data/project/.gradle/buildOutputCleanup;0.00;0.00%;0;5
/data/project/.gradle/vcs-1;0.00;0.00%;0;5
/data/project/.gradle/7.4;0.00;0.00%;0;10
/data/project/.gradle/7.4/dependencies-accessors;0.00;0.00%;0;5
/data/project/.gradle/6.8;0.00;0.00%;0;5
/data/project/src;1.10;5.06%;18;1674
/data/project/src/main;1.10;5.05%;18;1650
/data/project/src/main/resources;0.65;2.97%;0;92
/data/project/src/main/resources/kuberapp/rest-test;0.65;2.97%;0;87
/data/project/src/main/resources/kuberapp/rest-test/src/main/resources;0.00;0.01%;0;16
/data/project/src/main/resources/kuberapp/rest-test/src/main/resources/deploy;0.00;0.01%;0;11
/data/project/src/main/resources/kuberapp/rest-test/gradle/wrapper;0.00;0.00%;0;5
/data/project/src/main/java/simple/automation;0.45;2.08%;18;1558
/data/project/src/test/resources;0.00;0.01%;0;24
/data/project/result/log;1.10;5.05%;0;594
/data/project/result/log/indexing-diagnostic/project.15375f63;0.04;0.19%;0;276
/data/project/allure-results;0.01;0.06%;0;109
/data/project/gradle/wrapper;0.00;0.00%;0;5
