# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.usedNativeBytes,1771250056838000000,1771250116855000000,467272608
JVM.totalCpuTimeMs,1771250056838000000,1771250116855000000,88910
MEM.ramPlusSwapMinusFileMappingsBytes,1771250056838000000,1771250116855000000,2641989632
JVM.maxHeapBytes,1771250056838000000,1771250116855000000,28840034304
JVM.committedHeapBytes,1771250056838000000,1771250116855000000,1291845632
JVM.totalBytesAllocated,1771250056838000000,1771250116855000000,8953202392
JVM.newThreadsCount,1771250056838000000,1771250116855000000,396
JVM.totalSafepointCount,1771250056838000000,1771250116855000000,400
JVM.totalDirectByteBuffersBytes,1771250056838000000,1771250116855000000,650475508
JVM.usedHeapBytes,1771250056838000000,1771250116855000000,509403480
JVM.GC.collectionTimesMs,1771250056838000000,1771250116855000000,408
JVM.totalTimeToSafepointsMs,1771250056838000000,1771250116855000000,296
JVM.GC.collections,1771250056838000000,1771250116855000000,51
JVM.maxThreadCount,1771250056838000000,1771250116855000000,231
JVM.totalTimeAtSafepointsMs,1771250056838000000,1771250116855000000,579
JVM.threadCount,1771250056838000000,1771250116855000000,153
OS.loadAverage,1771250056838000000,1771250116855000000,3.20166015625
MEM.fileMappingsRamBytes,1771250056838000000,1771250116855000000,696586240
MEM.ramBytes,1771250056838000000,1771250116855000000,3338575872
MEM.ramMinusFileMappingsBytes,1771250056838000000,1771250116855000000,2641989632
LowMemory.gcLoad,1771250056838000000,1771250116855000000,0.0
parser.ECMAScript.6.size.bytes,1771250056838000000,1771250116855000000,4555814
parser.JSON.size.bytes,1771250056838000000,1771250116855000000,503
parser.Groovy.size.bytes,1771250056838000000,1771250116855000000,12777
lexer.SCSS.size.bytes,1771250056838000000,1771250116855000000,21698
parser.SCSS.time.ns,1771250056838000000,1771250116855000000,58627001
parser.XML.time.ns,1771250056838000000,1771250116855000000,10624959
lexer.JAVA.time.ns,1771250056838000000,1771250116855000000,63313460
lexer.XML.time.ns,1771250056838000000,1771250116855000000,2305250
parser.HTML.time.ns,1771250056838000000,1771250116855000000,121841834
lexer.JSON.time.ns,1771250056838000000,1771250116855000000,2797834
writeAction.count,1771250056838000000,1771250116855000000,75
writeAction.median.wait.ms,1771250056838000000,1771250116855000000,300
writeAction.wait.ms,1771250056838000000,1771250116855000000,347
lexer.JAVA.size.bytes,1771250056838000000,1771250116855000000,442217
parser.SCSS.size.bytes,1771250056838000000,1771250116855000000,21698
parser.JSON.time.ns,1771250056838000000,1771250116855000000,17129416
parser.Groovy.time.ns,1771250056838000000,1771250116855000000,101063626
DiskQueryRelay.taskExecutionTotalTimeUs,1771250056838000000,1771250116855000000,6961722
parser.CSS.time.ns,1771250056838000000,1771250116855000000,314825912
lexer.Groovy.time.ns,1771250056838000000,1771250116855000000,1912708
parser.CSS.size.bytes,1771250056838000000,1771250116855000000,2767198
lexer.Flow.JS.time.ns,1771250056838000000,1771250116855000000,32725460
lexer.Groovy.size.bytes,1771250056838000000,1771250116855000000,12777
lexer.ECMAScript.6.time.ns,1771250056838000000,1771250116855000000,97522082
lexer.Flow.JS.size.bytes,1771250056838000000,1771250116855000000,140172
lexer.SCSS.time.ns,1771250056838000000,1771250116855000000,7887365
writeAction.max.wait.ms,1771250056838000000,1771250116855000000,138
parser.Lombok.Config.time.ns,1771250056838000000,1771250116855000000,517292
parser.Flow.JS.time.ns,1771250056838000000,1771250116855000000,418559540
DiskQueryRelay.taskWaitingTotalTimeUs,1771250056838000000,1771250116855000000,9764363
lexer.Lombok.Config.time.ns,1771250056838000000,1771250116855000000,83125
DiskQueryRelay.tasksExecuted,1771250056838000000,1771250116855000000,54154
lexer.CSS.size.bytes,1771250056838000000,1771250116855000000,2767198
parser.ECMAScript.6.time.ns,1771250056838000000,1771250116855000000,501612752
parser.XML.size.bytes,1771250056838000000,1771250116855000000,39199
parser.JAVA.time.ns,1771250056838000000,1771250116855000000,398847171
parser.JAVA.size.bytes,1771250056838000000,1771250116855000000,665705
lexer.HTML.time.ns,1771250056838000000,1771250116855000000,419433628
LowMemory.gcOverloaded,1771250056838000000,1771250116855000000,0
lexer.JSON.size.bytes,1771250056838000000,1771250116855000000,503
lexer.XML.size.bytes,1771250056838000000,1771250116855000000,39199
lexer.ECMAScript.6.size.bytes,1771250056838000000,1771250116855000000,1234903
lexer.HTML.size.bytes,1771250056838000000,1771250116855000000,649429
parser.Flow.JS.size.bytes,1771250056838000000,1771250116855000000,140172
lexer.CSS.time.ns,1771250056838000000,1771250116855000000,75224729
parser.Lombok.Config.size.bytes,1771250056838000000,1771250116855000000,137
parser.HTML.size.bytes,1771250056838000000,1771250116855000000,649429
lexer.Lombok.Config.size.bytes,1771250056838000000,1771250116855000000,137
DiskQueryRelay.tasksRequested,1771250056838000000,1771250116855000000,54154
compiler.ArtifactModifiableModelBridge.commit.ms,1771250056838000000,1771250116855000000,3
compiler.ArtifactModifiableModelBridge.getArtifactsByType.ms,1771250056838000000,1771250116855000000,0
compiler.ArtifactModifiableModelBridge.getArtifacts.ms,1771250056838000000,1771250116855000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1771250056838000000,1771250116855000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1771250056838000000,1771250116855000000,0
compiler.ArtifactModifiableModelBridge.findArtifacts.ms,1771250056838000000,1771250116855000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1771250056838000000,1771250116855000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1771250056838000000,1771250116855000000,0
compiler.ArtifactManagerBridge.commit.ms,1771250056838000000,1771250116855000000,3
compiler.ArtifactManagerBridge.findArtifact.ms,1771250056838000000,1771250116855000000,0
compiler.ArtifactModifiableModelBridge.dispose.ms,1771250056838000000,1771250116855000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1771250056838000000,1771250116855000000,0
compiler.ArtifactModifiableModelBridge.addArtifact.ms,1771250056838000000,1771250116855000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1771250056838000000,1771250116855000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1771250056838000000,1771250116855000000,0
workspaceModel.to.snapshot.ms,1771250056838000000,1771250116855000000,3
workspaceModel.updates.ms,1771250056838000000,1771250116855000000,204
workspaceModel.cachedValueWithParameters.from.cache.count,1771250056838000000,1771250116855000000,0
workspaceModel.replace.project.model.ms,1771250056838000000,1771250116855000000,49
workspaceModel.cachedValueWithParameters.calculated.count,1771250056838000000,1771250116855000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1771250056838000000,1771250116855000000,0
workspaceModel.initializing.ms,1771250056838000000,1771250116855000000,30
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1771250056838000000,1771250116855000000,0
workspaceModel.pre.handlers.ms,1771250056838000000,1771250116855000000,1
workspaceModel.workspaceFileIndexData.init.ms,1771250056838000000,1771250116855000000,3
workspaceModel.init.bridges.ms,1771250056838000000,1771250116855000000,34
workspaceModel.collect.changes.ms,1771250056838000000,1771250116855000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1771250056838000000,1771250116855000000,31
workspaceModel.workspaceFileIndexData.instances.count,1771250056838000000,1771250116855000000,1
workspaceModel.updates.precise.ms,1771250056838000000,1771250116855000000,25
workspaceModel.entityStorageSnapshotImpl.instances.count,1771250056838000000,1771250116855000000,62
workspaceModel.full.replace.project.model.ms,1771250056838000000,1771250116855000000,64
workspaceModel.cachedValueWithParameters.total.get.count,1771250056838000000,1771250116855000000,0
workspaceModel.workspaceFileIndexData.processFileSets.ms,1771250056838000000,1771250116855000000,0
workspaceModel.cachedValue.total.get.count,1771250056838000000,1771250116855000000,4127
workspaceModel.on.before.changed.ms,1771250056838000000,1771250116855000000,73
workspaceModel.check.recursive.update.ms,1771250056838000000,1771250116855000000,2
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1771250056838000000,1771250116855000000,623
workspaceModel.cachedValue.from.cache.count,1771250056838000000,1771250116855000000,3972
workspaceModel.update.unloaded.entities.ms,1771250056838000000,1771250116855000000,0
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1771250056838000000,1771250116855000000,23
workspaceModel.cachedValue.clear.count,1771250056838000000,1771250116855000000,2
workspaceModel.workspaceFileIndexData.markDirty.ms,1771250056838000000,1771250116855000000,0
workspaceModel.updates.count,1771250056838000000,1771250116855000000,17
workspaceModel.cachedValueWithParameters.clear.count,1771250056838000000,1771250116855000000,0
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1771250056838000000,1771250116855000000,35
workspaceModel.cachedValue.calculated.count,1771250056838000000,1771250116855000000,155
workspaceModel.loading.from.cache.ms,1771250056838000000,1771250116855000000,1
workspaceModel.workspaceFileIndexData.getPackageName.ms,1771250056838000000,1771250116855000000,0
workspaceModel.on.changed.ms,1771250056838000000,1771250116855000000,138
workspaceModel.loading.total.ms,1771250056838000000,1771250116855000000,3
