Inspection ID;Inspection Group;Inspection Name;Inspection Language;Inspection Type;Absolute Time spent on Inspection, s;Percent of Time spent on Inspection;Problems Count;Times Inspection was Performed
InjectedReferences;General;Injected references;;LOCAL;7.40;49.32%;0;319
JvmTaintAnalysis;Security;Taint analysis;JVM;LOCAL;1.51;10.04%;0;57
CheckDependencyLicenses;Dependency analysis;Check dependency licenses;;GLOBAL;0.91;6.07%;0;1
UastIncorrectMimeTypeInspection;JVM languages;Incorrect MIME Type declaration;UAST;LOCAL;0.63;4.21%;0;57
RedundantOperationOnEmptyContainer;Java/Probable bugs;Redundant operation on empty container;JAVA;LOCAL;0.57;3.77%;0;53
HardcodedPasswords;Security;Hardcoded passwords;;LOCAL;0.45;3.00%;1;319
UnsupportedCharacter;Java/Properties files;Unsupported character;UAST;LOCAL;0.40;2.67%;0;57
DataFlowIssue;Java/Probable bugs;Nullability and data flow problems;JAVA;LOCAL;0.37;2.47%;0;53
deprecation;Java/Code maturity;Deprecated API usage;UAST;LOCAL;0.26;1.75%;0;58
ObviousNullCheck;Java/Verbose or redundant code constructs;Null-check method is called with obviously non-null argument;JAVA;LOCAL;0.19;1.27%;0;53
DialogTitleCapitalization;Java/Internationalization;Incorrect string capitalization;UAST;LOCAL;0.16;1.04%;0;57
UNUSED_IMPORT;Java/Imports;Unused import;JAVA;GLOBAL_SIMPLE;0.14;0.92%;0;281
unchecked;Java/Compiler issues;Unchecked warning;JAVA;LOCAL;0.12;0.79%;1;53
UnnecessaryLocalVariable;Java/Data flow;Redundant local variable;JAVA;LOCAL;0.11;0.70%;1;53
UnsupportedChronoFieldUnitCall;Java/Probable bugs;Call methods with unsupported 'java.time.temporal.ChronoUnit' and 'java.time.temporal.ChronoField';JAVA;LOCAL;0.10;0.66%;0;56
RedundantCast;Java/Verbose or redundant code constructs;Redundant type cast;JAVA;LOCAL;0.08;0.55%;0;53
Contract;Java/Probable bugs;Contract issues;JAVA;LOCAL;0.08;0.54%;0;53
NullableProblems;Java/Probable bugs/Nullability problems;@NotNull/@Nullable problems;JAVA;LOCAL;0.07;0.48%;0;53
ConstantValue;Java/Probable bugs;Constant values;JAVA;LOCAL;0.07;0.48%;4;53
StringConcatenationInLoop;Java/Performance;String concatenation in loop;JAVA;LOCAL;0.07;0.45%;0;56
WriteOnlyObject;Java/Probable bugs;Write-only object;JAVA;LOCAL;0.06;0.40%;0;53
removal;Java/Code maturity;Usage of API marked for removal;UAST;LOCAL;0.06;0.39%;0;57
LoggingPlaceholderCountMatchesArgumentCount;JVM languages/Logging;Number of placeholders does not match number of arguments in logging call;UAST;LOCAL;0.05;0.33%;0;60
OverlyCoupledClass;Java/Class metrics;Overly coupled class;JAVA;LOCAL;0.05;0.30%;5;55
JavaLangInvokeHandleSignature;Java/Reflective access;MethodHandle/VarHandle type mismatch;JAVA;LOCAL;0.04;0.28%;0;55
resource;Java/Resource management;AutoCloseable used without 'try'-with-resources;JAVA;LOCAL;0.04;0.27%;0;55
UnusedAssignment;Java/Probable bugs;Unused assignment;JAVA;LOCAL;0.04;0.26%;11;53
UnresolvedPropertyKey;Java/Properties files;Invalid property key;JAVA;LOCAL;0.04;0.25%;0;53
LombokGetterMayBeUsed;Java/Verbose or redundant code constructs;Lombok @Getter may be used;JAVA;LOCAL;0.03;0.22%;17;53
DuplicatedCode;General;Duplicated code fragment;;LOCAL;0.03;0.22%;0;326
ConditionCoveredByFurtherCondition;Java/Verbose or redundant code constructs;Condition is covered by further condition;JAVA;LOCAL;0.03;0.18%;0;53
MaliciousLibrariesLocal;Security;Malicious dependency;;LOCAL;0.03;0.17%;0;325
SuspiciousReturnByteInputStream;Java/Probable bugs;Suspicious byte value returned from 'InputStream.read()';JAVA;LOCAL;0.03;0.17%;0;56
ExtractMethodRecommender;Java/Code maturity;Method can be extracted;JAVA;LOCAL;0.03;0.17%;1;53
MismatchedQueryAndUpdateOfStringBuilder;Java/Probable bugs;Mismatched query and update of 'StringBuilder';JAVA;LOCAL;0.02;0.17%;0;56
ResultOfMethodCallIgnored;Java/Probable bugs;Result of method call ignored;JAVA;LOCAL;0.02;0.17%;0;53
SystemGetProperty;JVM languages;Call to 'System.getProperty(str)' could be simplified;UAST;LOCAL;0.02;0.16%;0;60
