# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
JVM.totalTimeAtSafepointsMs,1771249522045000000,1771249582049000000,498
JVM.maxHeapBytes,1771249522045000000,1771249582049000000,28840034304
JVM.GC.collectionTimesMs,1771249522045000000,1771249582049000000,387
OS.loadAverage,1771249522045000000,1771249582049000000,3.15185546875
JVM.totalDirectByteBuffersBytes,1771249522045000000,1771249582049000000,644630556
JVM.GC.collections,1771249522045000000,1771249582049000000,49
JVM.usedHeapBytes,1771249522045000000,1771249582049000000,988326344
MEM.fileMappingsRamBytes,1771249522045000000,1771249582049000000,700010496
JVM.maxThreadCount,1771249522045000000,1771249582049000000,192
JVM.usedNativeBytes,1771249522045000000,1771249582049000000,462112288
MEM.ramMinusFileMappingsBytes,1771249522045000000,1771249582049000000,2663534592
MEM.ramBytes,1771249522045000000,1771249582049000000,3363545088
JVM.committedHeapBytes,1771249522045000000,1771249582049000000,1308622848
JVM.newThreadsCount,1771249522045000000,1771249582049000000,429
JVM.totalBytesAllocated,1771249522045000000,1771249582049000000,8416022456
JVM.totalCpuTimeMs,1771249522045000000,1771249582049000000,84450
JVM.totalSafepointCount,1771249522045000000,1771249582049000000,381
MEM.ramPlusSwapMinusFileMappingsBytes,1771249522045000000,1771249582049000000,2663534592
JVM.totalTimeToSafepointsMs,1771249522045000000,1771249582049000000,243
JVM.threadCount,1771249522045000000,1771249582049000000,164
compiler.ArtifactManagerBridge.commit.ms,1771249522045000000,1771249582049000000,3
compiler.ArtifactModifiableModelBridge.getArtifactsByType.ms,1771249522045000000,1771249582049000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1771249522045000000,1771249582049000000,0
compiler.ArtifactModifiableModelBridge.getArtifacts.ms,1771249522045000000,1771249582049000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1771249522045000000,1771249582049000000,0
compiler.ArtifactModifiableModelBridge.commit.ms,1771249522045000000,1771249582049000000,3
compiler.ArtifactManagerBridge.dropMappings.ms,1771249522045000000,1771249582049000000,0
compiler.ArtifactModifiableModelBridge.addArtifact.ms,1771249522045000000,1771249582049000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1771249522045000000,1771249582049000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1771249522045000000,1771249582049000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1771249522045000000,1771249582049000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1771249522045000000,1771249582049000000,0
compiler.ArtifactModifiableModelBridge.findArtifacts.ms,1771249522045000000,1771249582049000000,0
compiler.ArtifactModifiableModelBridge.dispose.ms,1771249522045000000,1771249582049000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1771249522045000000,1771249582049000000,0
workspaceModel.delayed.project.synchronizer.sync.ms,1771249522045000000,1771249582049000000,0
jps.reload.project.entities.ms,1771249522045000000,1771249582049000000,0
workspaceModel.sync.entities.ms,1771249522045000000,1771249582049000000,2
jps.load.initial.state.ms,1771249522045000000,1771249582049000000,10
jps.module.iml.entities.serializer.load.entities.ms,1771249522045000000,1771249582049000000,25
jps.modifiable.module.model.bridge.new.module.ms,1771249522045000000,1771249582049000000,11
jps.storage.jps.conf.reader.load.component.ms,1771249522045000000,1771249582049000000,5
jps.apply.loaded.storage.ms,1771249522045000000,1771249582049000000,56
jps.facet.change.listener.before.change.events.ms,1771249522045000000,1771249582049000000,0
workspaceModel.mutableEntityStorage.resolve.ms,1771249522045000000,1771249582049000000,1
jps.artifact.entities.serializer.load.entities.ms,1771249522045000000,1771249582049000000,1
workspaceModel.mutableEntityStorage.add.entity.ms,1771249522045000000,1771249582049000000,75
workspaceModel.mutableEntityStorage.to.snapshot.ms,1771249522045000000,1771249582049000000,2
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1771249522045000000,1771249582049000000,0
jps.modifiable.module.model.bridge.load.module.ms,1771249522045000000,1771249582049000000,0
workspaceModel.load.cache.metadata.from.file.ms,1771249522045000000,1771249582049000000,0
workspaceModel.do.save.caches.ms,1771249522045000000,1771249582049000000,74
workspaceModel.mutableEntityStorage.put.entity.ms,1771249522045000000,1771249582049000000,31
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1771249522045000000,1771249582049000000,0
workspaceModel.mutableEntityStorage.entities.ms,1771249522045000000,1771249582049000000,2
jps.save.global.entities.ms,1771249522045000000,1771249582049000000,0
workspaceModel.orphan.listener.update.ms,1771249522045000000,1771249582049000000,8
jps.global.get.library.by.name.ms,1771249522045000000,1771249582049000000,0
jps.library.entities.serializer.save.entities.ms,1771249522045000000,1771249582049000000,0
jps.library.entities.serializer.load.entities.ms,1771249522045000000,1771249582049000000,1
jps.app.storage.content.reader.load.component.ms,1771249522045000000,1771249582049000000,1
workspaceModel.moduleManagerBridge.create.module.instance.ms,1771249522045000000,1771249582049000000,6
jps.global.get.libraries.ms,1771249522045000000,1771249582049000000,0
jps.global.handle.changed.events.ms,1771249522045000000,1771249582049000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1771249522045000000,1771249582049000000,3
workspaceModel.mutableEntityStorage.hasReferrers.ms,1771249522045000000,1771249582049000000,0
jps.save.changed.project.entities.ms,1771249522045000000,1771249582049000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1771249522045000000,1771249582049000000,0
workspaceModel.moduleManagerBridge.load.all.modules.ms,1771249522045000000,1771249582049000000,2
jps.global.get.library.ms,1771249522045000000,1771249582049000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1771249522045000000,1771249582049000000,0
workspaceModel.mutableEntityStorage.referrers.ms,1771249522045000000,1771249582049000000,0
jps.global.initialize.library.bridges.after.loading.ms,1771249522045000000,1771249582049000000,0
workspaceModel.save.cache.to.file.ms,1771249522045000000,1771249582049000000,245
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1771249522045000000,1771249582049000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1771249522045000000,1771249582049000000,35
workspaceModel.mutableEntityStorage.modify.entity.ms,1771249522045000000,1771249582049000000,49
workspaceModel.mutableEntityStorage.collect.changes.ms,1771249522045000000,1771249582049000000,2
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1771249522045000000,1771249582049000000,2
workspaceModel.moduleManagerBridge.newModule.ms,1771249522045000000,1771249582049000000,19
workspaceModel.mutableEntityStorage.has.same.entities.ms,1771249522045000000,1771249582049000000,1
