# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
AWTEventQueue.dispatchTimeTotalNS,1771319323847000000,1771319383991000000,17345148100
AWTEventQueue.dispatchTime90PNs,1771319323847000000,1771319383991000000,7208959
FlushQueue.waitingTime90PNs,1771319323847000000,1771319383991000000,7180648447
FlushQueue.executionTimeAvgNs,1771319323847000000,1771319383991000000,2.6227543978666666E8
NonBlockingReadAction.failedExecutionsCount,1771319323847000000,1771319383991000000,1
FlushQueue.queueSizeAvg,1771319323847000000,1771319383991000000,7.4
FlushQueue.executionTimeMaxNs,1771319323847000000,1771319383991000000,5536481279
FlushQueue.waitingTimeAvgNs,1771319323847000000,1771319383991000000,2.882515387733333E9
FlushQueue.executionTime90PNs,1771319323847000000,1771319383991000000,375390207
AWTEventQueue.dispatchTimeMaxNs,1771319323847000000,1771319383991000000,5435817983
NonBlockingReadAction.finalizedExecutionTimeUs,1771319323847000000,1771319383991000000,329463
FlushQueue.queueSizeMax,1771319323847000000,1771319383991000000,23
AWTEventQueue.dispatchTimeAvgNs,1771319323847000000,1771319383991000000,2.3147762688E7
WriteAction.executionsCount,1771319323847000000,1771319383991000000,21
FlushQueue.queueSize90P,1771319323847000000,1771319383991000000,19
FlushQueue.waitingTimeMaxNs,1771319323847000000,1771319383991000000,7482638335
FlushQueue.tasksExecuted,1771319323847000000,1771319383991000000,75
NonBlockingReadAction.failedExecutionTimeUs,1771319323847000000,1771319383991000000,5320312
NonBlockingReadAction.finalizedExecutionsCount,1771319323847000000,1771319383991000000,6
ReadAction.executionsCount,1771319323847000000,1771319383991000000,11716
AWTEventQueue.eventsDispatched,1771319323847000000,1771319383991000000,750
writeAction.max.wait.ms,1771319323847000000,1771319383991000000,3142
LowMemory.gcOverloaded,1771319323847000000,1771319383991000000,0
LowMemory.gcLoad,1771319323847000000,1771319383991000000,0.0
writeAction.count,1771319323847000000,1771319383991000000,21
writeAction.wait.ms,1771319323847000000,1771319383991000000,3704
DiskQueryRelay.tasksExecuted,1771319323847000000,1771319383991000000,2422
writeAction.median.wait.ms,1771319323847000000,1771319383991000000,0
DiskQueryRelay.tasksRequested,1771319323847000000,1771319383991000000,2422
DiskQueryRelay.taskWaitingTotalTimeUs,1771319323847000000,1771319383991000000,23643234
DiskQueryRelay.taskExecutionTotalTimeUs,1771319323847000000,1771319383991000000,16677203
MEM.fileMappingsRamBytes,1771319323847000000,1771319383991000000,531468288
OS.loadAverage,1771319323847000000,1771319383991000000,4.23779296875
JVM.totalBytesAllocated,1771319323847000000,1771319383991000000,1852905840
JVM.GC.collections,1771319323847000000,1771319383991000000,33
JVM.GC.collectionTimesMs,1771319323847000000,1771319383991000000,2323
MEM.ramBytes,1771319323847000000,1771319383991000000,2320637952
JVM.maxHeapBytes,1771319323847000000,1771319383991000000,28840034304
JVM.usedNativeBytes,1771319323847000000,1771319383991000000,273551528
JVM.usedHeapBytes,1771319323847000000,1771319383991000000,454970088
JVM.totalTimeToSafepointsMs,1771319323847000000,1771319383991000000,395
JVM.totalDirectByteBuffersBytes,1771319323847000000,1771319383991000000,639755724
JVM.newThreadsCount,1771319323847000000,1771319383991000000,412
JVM.threadCount,1771319323847000000,1771319383991000000,155
JVM.maxThreadCount,1771319323847000000,1771319383991000000,186
MEM.ramMinusFileMappingsBytes,1771319323847000000,1771319383991000000,1789169664
JVM.totalTimeAtSafepointsMs,1771319323847000000,1771319383991000000,2605
JVM.committedHeapBytes,1771319323847000000,1771319383991000000,553648128
MEM.ramPlusSwapMinusFileMappingsBytes,1771319323847000000,1771319383991000000,1789169664
JVM.totalSafepointCount,1771319323847000000,1771319383991000000,90
JVM.totalCpuTimeMs,1771319323847000000,1771319383991000000,263180
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1771319323847000000,1771319383991000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1771319323847000000,1771319383991000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1771319323847000000,1771319383991000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1771319323847000000,1771319383991000000,0
compiler.ArtifactManagerBridge.commit.ms,1771319323847000000,1771319383991000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1771319323847000000,1771319383991000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1771319323847000000,1771319383991000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1771319323847000000,1771319383991000000,0
Indexing.writesQueuedAvg,1771319323847000000,1771319383991000000,0.0
Indexing.writesQueuedMax,1771319323847000000,1771319383991000000,0
Indexing.writesQueuedMin,1771319323847000000,1771319383991000000,0
Indexing.cache.totalCacheEvicted,1771319323847000000,1771319383991000000,0
Indexing.totalTimeIndexersSleptMs,1771319323847000000,1771319383991000000,0
Indexing.writer_2.totalTimeSpentWritingMs,1771319323847000000,1771319383991000000,0
Indexing.writer_0.totalTimeSpentWritingMs,1771319323847000000,1771319383991000000,0
Indexing.cache.totalCacheMisses,1771319323847000000,1771319383991000000,0
Indexing.cache.totalCacheAccesses,1771319323847000000,1771319383991000000,0
Indexing.writer_3.totalTimeSpentWritingMs,1771319323847000000,1771319383991000000,0
VFS.contentStorage.recordsStored,1771319323847000000,1771319383991000000,9
VFS.contentStorage.recordsDeduplicated,1771319323847000000,1771319383991000000,0
VFS.cache.directoriesCreated,1771319323847000000,1771319383991000000,1984
VFS.contentStorage.recordsReadDecompressed,1771319323847000000,1771319383991000000,1
VFS.invertedFileNameIndex.requests,1771319323847000000,1771319383991000000,0
VFS.cache.segmentsCreated,1771319323847000000,1771319383991000000,81
VFS.rootsCount,1771319323847000000,1771319383991000000,29.0
VFS.folderCaseSensitivityReads,1771319323847000000,1771319383991000000,182
VFS.contentStorage.recordsRead,1771319323847000000,1771319383991000000,1
FileNameCache.queries,1771319323847000000,1771319383991000000,448960
VFS.fileChildByName,1771319323847000000,1771319383991000000,3318
VFS.fileByIdCache.hits,1771319323847000000,1771319383991000000,0
VFS.contentStorage.recordsReadSize,1771319323847000000,1771319383991000000,24560
VFS.cache.filesCreated,1771319323847000000,1771319383991000000,30414
VFS.contentStorage.recordsUncompressedSize,1771319323847000000,1771319383991000000,40011
VFS.cache.segments,1771319323847000000,1771319383991000000,78.0
VFS.contentStorage.recordsStoredSize,1771319323847000000,1771319383991000000,17660
VFS.contentStorage.recordsStoredCompressed,1771319323847000000,1771319383991000000,1
VFS.fileByIdCache.misses,1771319323847000000,1771319383991000000,0
FileNameCache.totalMisses,1771319323847000000,1771319383991000000,704
VFS.contentStorage.recordsDecompressionTimeUs,1771319323847000000,1771319383991000000,7323
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1771319323847000000,1771319383991000000,1048576
FilePageCache.maxRegisteredFiles,1771319323847000000,1771319383991000000,1850
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1771319323847000000,1771319383991000000,630194176
DirectByteBufferAllocator.hits,1771319323847000000,1771319383991000000,77
StreamlinedBlobStorage.recordsDeleted,1771319323847000000,1771319383991000000,0
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1771319323847000000,1771319383991000000,54846
FilePageCache.pageLoadsAboveSizeThreshold,1771319323847000000,1771319383991000000,76
FilePageCache.pageLoads,1771319323847000000,1771319383991000000,602
FileChannelInterruptsRetryer.totalRetriedAttempts,1771319323847000000,1771319383991000000,0
