# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.moduleManagerBridge.build.module.graph.ms,1771926230139000000,1771926272295000000,3
workspaceModel.moduleManagerBridge.load.module.ms,1771926230139000000,1771926272295000000,0
jps.reload.project.entities.ms,1771926230139000000,1771926272295000000,0
jps.app.storage.content.reader.load.component.ms,1771926230139000000,1771926272295000000,1
jps.apply.loaded.storage.ms,1771926230139000000,1771926272295000000,57
jps.module.iml.entities.serializer.load.entities.ms,1771926230139000000,1771926272295000000,29
workspaceModel.mutableEntityStorage.remove.entity.ms,1771926230139000000,1771926272295000000,1
workspaceModel.sync.entities.ms,1771926230139000000,1771926272295000000,3
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1771926230139000000,1771926272295000000,18
workspaceModel.mutableEntityStorage.referrers.ms,1771926230139000000,1771926272295000000,0
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1771926230139000000,1771926272295000000,3
workspaceModel.moduleManagerBridge.load.all.modules.ms,1771926230139000000,1771926272295000000,2
jps.save.global.entities.ms,1771926230139000000,1771926272295000000,0
jps.library.entities.serializer.load.entities.ms,1771926230139000000,1771926272295000000,2
jps.project.serializers.save.ms,1771926230139000000,1771926272295000000,0
jps.facet.change.listener.process.change.events.ms,1771926230139000000,1771926272295000000,0
workspaceModel.mutableEntityStorage.instances.count,1771926230139000000,1771926272295000000,66
jps.modifiable.module.model.bridge.disposing.ms,1771926230139000000,1771926272295000000,0
workspaceModel.moduleBridge.update.option.ms,1771926230139000000,1771926272295000000,0
workspaceModel.orphan.listener.update.ms,1771926230139000000,1771926272295000000,3
jps.global.handle.before.change.events.ms,1771926230139000000,1771926272295000000,0
workspaceModel.mutableEntityStorage.has.same.entities.ms,1771926230139000000,1771926272295000000,0
jps.facet.change.listener.before.change.events.ms,1771926230139000000,1771926272295000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1771926230139000000,1771926272295000000,37
workspaceModel.moduleBridge.facet.initialization.ms,1771926230139000000,1771926272295000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1771926230139000000,1771926272295000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1771926230139000000,1771926272295000000,9
workspaceModel.moduleBridgeLoader.loading.modules.ms,1771926230139000000,1771926272295000000,16
jps.load.initial.state.ms,1771926230139000000,1771926272295000000,11
jps.modifiable.module.model.bridge.load.module.ms,1771926230139000000,1771926272295000000,0
workspaceModel.load.cache.metadata.from.file.ms,1771926230139000000,1771926272295000000,0
workspaceModel.moduleManagerBridge.get.modules.ms,1771926230139000000,1771926272295000000,1
jps.global.handle.changed.events.ms,1771926230139000000,1771926272295000000,0
workspaceModel.mutableEntityStorage.hasReferrers.ms,1771926230139000000,1771926272295000000,0
jps.artifact.entities.serializer.save.entities.ms,1771926230139000000,1771926272295000000,0
jps.project.serializers.load.ms,1771926230139000000,1771926272295000000,45
workspaceModel.mutableEntityStorage.resolve.ms,1771926230139000000,1771926272295000000,0
