# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
VFS.contentStorage.recordsStoredSize,1771327174578000000,1771327234706000000,14522
VFS.fileChildByName,1771327174578000000,1771327234706000000,24223
VFS.cache.filesCreated,1771327174578000000,1771327234706000000,144634
VFS.cache.directoriesCreated,1771327174578000000,1771327234706000000,4575
VFS.cache.segments,1771327174578000000,1771327234706000000,167.0
VFS.folderCaseSensitivityReads,1771327174578000000,1771327234706000000,338
VFS.contentStorage.recordsReadDecompressed,1771327174578000000,1771327234706000000,1
VFS.cache.segmentsCreated,1771327174578000000,1771327234706000000,168
VFS.contentStorage.recordsDecompressionTimeUs,1771327174578000000,1771327234706000000,457
VFS.contentStorage.recordsDeduplicated,1771327174578000000,1771327234706000000,0
VFS.contentStorage.recordsStoredCompressed,1771327174578000000,1771327234706000000,1
VFS.fileByIdCache.hits,1771327174578000000,1771327234706000000,1
VFS.rootsCount,1771327174578000000,1771327234706000000,202.0
VFS.fileByIdCache.misses,1771327174578000000,1771327234706000000,3
VFS.contentStorage.recordsRead,1771327174578000000,1771327234706000000,9
VFS.contentStorage.recordsStored,1771327174578000000,1771327234706000000,6
FileNameCache.totalMisses,1771327174578000000,1771327234706000000,28992
VFS.contentStorage.recordsUncompressedSize,1771327174578000000,1771327234706000000,36873
FileNameCache.queries,1771327174578000000,1771327234706000000,3211072
VFS.contentStorage.recordsReadSize,1771327174578000000,1771327234706000000,62181
VFS.invertedFileNameIndex.requests,1771327174578000000,1771327234706000000,0
Indexes.entries.lookupDuration90PMs,1771327174578000000,1771327234706000000,0.0
Indexing.writer_0.totalTimeSpentWritingMs,1771327174578000000,1771327234706000000,945
Indexing.writesQueuedMax,1771327174578000000,1771327234706000000,0
Indexing.writesQueuedMin,1771327174578000000,1771327234706000000,9223372036854775807
Indexing.writer_1.totalTimeSpentWritingMs,1771327174578000000,1771327234706000000,972
Indexes.allKeys.lookupDuration90PMs,1771327174578000000,1771327234706000000,0.0
Indexes.stubs.lookupDurationAvgMs,1771327174578000000,1771327234706000000,0.0
Indexing.cache.totalCacheEvicted,1771327174578000000,1771327234706000000,1265338
Indexes.stubs.lookupDuration90PMs,1771327174578000000,1771327234706000000,0.0
Indexing.writer_2.totalTimeSpentWritingMs,1771327174578000000,1771327234706000000,4485
Indexes.stubs.lookupDurationMaxMs,1771327174578000000,1771327234706000000,0.0
Indexes.allKeys.lookups,1771327174578000000,1771327234706000000,0
Indexes.entries.lookupDurationAvgMs,1771327174578000000,1771327234706000000,0.0
Indexes.entries.lookupDurationMaxMs,1771327174578000000,1771327234706000000,0.0
Indexes.allKeys.lookupDurationMaxMs,1771327174578000000,1771327234706000000,0.0
Indexing.cache.totalCacheAccesses,1771327174578000000,1771327234706000000,2574583
Indexing.cache.totalCacheMisses,1771327174578000000,1771327234706000000,1275055
Indexes.stubs.lookups,1771327174578000000,1771327234706000000,2575
Indexing.writer_3.totalTimeSpentWritingMs,1771327174578000000,1771327234706000000,4427
Indexes.allKeys.lookupDurationAvgMs,1771327174578000000,1771327234706000000,0.0
Indexing.totalTimeIndexersSleptMs,1771327174578000000,1771327234706000000,3272
Indexes.entries.lookups,1771327174578000000,1771327234706000000,2
JVM.totalTimeAtSafepointsMs,1771327174578000000,1771327234706000000,614
JVM.usedHeapBytes,1771327174578000000,1771327234706000000,466344976
JVM.totalTimeToSafepointsMs,1771327174578000000,1771327234706000000,231
MEM.ramMinusFileMappingsBytes,1771327174578000000,1771327234706000000,2418315264
OS.loadAverage,1771327174578000000,1771327234706000000,5.78564453125
JVM.newThreadsCount,1771327174578000000,1771327234706000000,346
MEM.ramPlusSwapMinusFileMappingsBytes,1771327174578000000,1771327234706000000,2418315264
JVM.maxThreadCount,1771327174578000000,1771327234706000000,182
JVM.threadCount,1771327174578000000,1771327234706000000,90
JVM.totalBytesAllocated,1771327174578000000,1771327234706000000,8610019224
JVM.totalDirectByteBuffersBytes,1771327174578000000,1771327234706000000,356293212
JVM.totalCpuTimeMs,1771327174578000000,1771327234706000000,83910
JVM.GC.collections,1771327174578000000,1771327234706000000,49
JVM.maxHeapBytes,1771327174578000000,1771327234706000000,28840034304
MEM.ramBytes,1771327174578000000,1771327234706000000,2977234944
JVM.totalSafepointCount,1771327174578000000,1771327234706000000,344
JVM.GC.collectionTimesMs,1771327174578000000,1771327234706000000,443
JVM.usedNativeBytes,1771327174578000000,1771327234706000000,377356840
MEM.fileMappingsRamBytes,1771327174578000000,1771327234706000000,558919680
JVM.committedHeapBytes,1771327174578000000,1771327234706000000,1476395008
jps.apply.loaded.storage.ms,1771327174578000000,1771327234706000000,75
jps.module.iml.entities.serializer.save.entities.ms,1771327174578000000,1771327234706000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1771327174578000000,1771327234706000000,5
workspaceModel.mutableEntityStorage.add.entity.ms,1771327174578000000,1771327234706000000,90
workspaceModel.mutableEntityStorage.hasReferrers.ms,1771327174578000000,1771327234706000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1771327174578000000,1771327234706000000,2
workspaceModel.mutableEntityStorage.modify.entity.ms,1771327174578000000,1771327234706000000,57
workspaceModel.sync.entities.ms,1771327174578000000,1771327234706000000,4
workspaceModel.global.updates.count,1771327174578000000,1771327234706000000,3
jps.load.project.to.empty.storage.ms,1771327174578000000,1771327234706000000,160
jps.load.initial.state.ms,1771327174578000000,1771327234706000000,11
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1771327174578000000,1771327234706000000,1
jps.artifact.entities.serializer.load.entities.ms,1771327174578000000,1771327234706000000,3
jps.global.get.libraries.ms,1771327174578000000,1771327234706000000,0
workspaceModel.save.cache.to.file.ms,1771327174578000000,1771327234706000000,97
workspaceModel.moduleManagerBridge.create.module.instance.ms,1771327174578000000,1771327234706000000,6
jps.artifact.entities.serializer.save.entities.ms,1771327174578000000,1771327234706000000,0
jps.library.entities.serializer.save.entities.ms,1771327174578000000,1771327234706000000,0
jps.project.serializers.load.ms,1771327174578000000,1771327234706000000,65
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1771327174578000000,1771327234706000000,20
workspaceModel.mutableEntityStorage.referrers.ms,1771327174578000000,1771327234706000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1771327174578000000,1771327234706000000,0
jps.global.get.library.by.name.ms,1771327174578000000,1771327234706000000,0
jps.global.get.library.ms,1771327174578000000,1771327234706000000,0
jps.reload.project.entities.ms,1771327174578000000,1771327234706000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1771327174578000000,1771327234706000000,1
jps.app.storage.content.reader.load.component.ms,1771327174578000000,1771327234706000000,1
workspaceModel.mutableEntityStorage.has.same.entities.ms,1771327174578000000,1771327234706000000,0
workspaceModel.moduleBridge.update.option.ms,1771327174578000000,1771327234706000000,0
jps.storage.jps.conf.reader.load.component.ms,1771327174578000000,1771327234706000000,13
jps.library.entities.serializer.load.entities.ms,1771327174578000000,1771327234706000000,4
jps.module.iml.entities.serializer.load.entities.ms,1771327174578000000,1771327234706000000,38
workspaceModel.mutableEntityStorage.resolve.ms,1771327174578000000,1771327234706000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1771327174578000000,1771327234706000000,0
jps.facet.change.listener.process.change.events.ms,1771327174578000000,1771327234706000000,1
workspaceModel.moduleManagerBridge.load.module.ms,1771327174578000000,1771327234706000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1771327174578000000,1771327234706000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1771327174578000000,1771327234706000000,0
workspaceModel.do.save.caches.ms,1771327174578000000,1771327234706000000,71
workspaceModel.moduleBridge.before.changed.ms,1771327174578000000,1771327234706000000,0
jps.global.handle.before.change.events.ms,1771327174578000000,1771327234706000000,0
workspaceModel.load.cache.from.file.ms,1771327174578000000,1771327234706000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1771327174578000000,1771327234706000000,26
jps.facet.change.listener.before.change.events.ms,1771327174578000000,1771327234706000000,0
jps.modifiable.module.model.bridge.renaming.ms,1771327174578000000,1771327234706000000,0
jps.global.handle.changed.events.ms,1771327174578000000,1771327234706000000,0
jps.facet.change.listener.init.bridge.ms,1771327174578000000,1771327234706000000,1
workspaceModel.global.apply.state.to.project.ms,1771327174578000000,1771327234706000000,20
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1771327174578000000,1771327234706000000,0
jps.global.initialize.library.bridges.after.loading.ms,1771327174578000000,1771327234706000000,1
workspaceModel.moduleManagerBridge.get.modules.ms,1771327174578000000,1771327234706000000,1
jps.modifiable.module.model.bridge.new.module.ms,1771327174578000000,1771327234706000000,13
jps.modifiable.module.model.bridge.load.module.ms,1771327174578000000,1771327234706000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1771327174578000000,1771327234706000000,0
workspaceModel.mutableEntityStorage.instances.count,1771327174578000000,1771327234706000000,83
jps.save.changed.project.entities.ms,1771327174578000000,1771327234706000000,0
jps.global.initialize.library.bridges.ms,1771327174578000000,1771327234706000000,1
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1771327174578000000,1771327234706000000,1
jps.modifiable.module.model.bridge.disposing.ms,1771327174578000000,1771327234706000000,0
workspaceModel.moduleBridgeLoader.loading.modules.ms,1771327174578000000,1771327234706000000,13
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1771327174578000000,1771327234706000000,5
workspaceModel.global.apply.state.to.project.builder.ms,1771327174578000000,1771327234706000000,8
workspaceModel.mutableEntityStorage.entities.by.source.ms,1771327174578000000,1771327234706000000,0
jps.project.serializers.save.ms,1771327174578000000,1771327234706000000,0
jps.save.global.entities.ms,1771327174578000000,1771327234706000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1771327174578000000,1771327234706000000,3
workspaceModel.mutableEntityStorage.put.entity.ms,1771327174578000000,1771327234706000000,40
workspaceModel.delayed.project.synchronizer.sync.ms,1771327174578000000,1771327234706000000,0
workspaceModel.load.cache.metadata.from.file.ms,1771327174578000000,1771327234706000000,0
workspaceModel.moduleManagerBridge.newModule.ms,1771327174578000000,1771327234706000000,39
workspaceModel.orphan.listener.update.ms,1771327174578000000,1771327234706000000,8
