Inspection ID;Inspection Group;Inspection Name;Inspection Language;Inspection Type;Absolute Time spent on Inspection, s;Percent of Time spent on Inspection;Problems Count;Times Inspection was Performed
InjectedReferences;General;Injected references;;LOCAL;10.45;77.06%;0;504
RedundantOperationOnEmptyContainer;Java/Probable bugs;Redundant operation on empty container;JAVA;LOCAL;0.35;2.55%;0;53
deprecation;Java/Code maturity;Deprecated API usage;UAST;LOCAL;0.34;2.50%;0;59
DialogTitleCapitalization;Java/Internationalization;Incorrect string capitalization;UAST;LOCAL;0.28;2.07%;0;57
DataFlowIssue;Java/Probable bugs;Nullability and data flow problems;JAVA;LOCAL;0.21;1.55%;0;53
EqualsOnSuspiciousObject;Java/Probable bugs;'equals()' called on classes which don't override it;JAVA;LOCAL;0.19;1.43%;0;55
UnsupportedCharacter;Java/Properties files;Unsupported character;UAST;LOCAL;0.15;1.14%;0;57
NonStrictComparisonCanBeEquality;Java/Verbose or redundant code constructs;Non-strict inequality '>=' or '<=' can be replaced with '==';JAVA;LOCAL;0.10;0.75%;0;53
removal;Java/Code maturity;Usage of API marked for removal;UAST;LOCAL;0.10;0.74%;0;58
OverlyCoupledClass;Java/Class metrics;Overly coupled class;JAVA;LOCAL;0.09;0.68%;5;55
WriteOnlyObject;Java/Probable bugs;Write-only object;JAVA;LOCAL;0.09;0.63%;0;53
unchecked;Java/Compiler issues;Unchecked warning;JAVA;LOCAL;0.08;0.62%;1;53
UnnecessaryLocalVariable;Java/Data flow;Redundant local variable;JAVA;LOCAL;0.08;0.61%;1;53
DeprecatedMavenDependency;Kotlin;Deprecated library is used in Maven;XML;LOCAL;0.07;0.52%;0;99
SuspiciousReturnByteInputStream;Java/Probable bugs;Suspicious byte value returned from 'InputStream.read()';JAVA;LOCAL;0.07;0.49%;0;55
ObviousNullCheck;Java/Verbose or redundant code constructs;Null-check method is called with obviously non-null argument;JAVA;LOCAL;0.06;0.48%;0;54
MismatchedQueryAndUpdateOfStringBuilder;Java/Probable bugs;Mismatched query and update of 'StringBuilder';JAVA;LOCAL;0.06;0.47%;0;55
resource;Java/Resource management;AutoCloseable used without 'try'-with-resources;JAVA;LOCAL;0.04;0.31%;0;55
ConstantValue;Java/Probable bugs;Constant values;JAVA;LOCAL;0.04;0.31%;4;53
NullableProblems;Java/Probable bugs/Nullability problems;@NotNull/@Nullable problems;JAVA;LOCAL;0.04;0.30%;0;53
ResultOfMethodCallIgnored;Java/Probable bugs;Result of method call ignored;JAVA;LOCAL;0.03;0.26%;0;54
ImplicitArrayToString;Java/Probable bugs;Call to 'toString()' on array;JAVA;LOCAL;0.03;0.25%;0;55
Contract;Java/Probable bugs;Contract issues;JAVA;LOCAL;0.03;0.25%;0;53
UNUSED_IMPORT;Java/Imports;Unused import;JAVA;GLOBAL_SIMPLE;0.03;0.25%;0;497
UnusedAssignment;Java/Probable bugs;Unused assignment;JAVA;LOCAL;0.03;0.24%;11;53
KotlinTestJUnit;Kotlin;kotlin-test-junit could be used;XML;LOCAL;0.03;0.24%;0;99
RedundantCast;Java/Verbose or redundant code constructs;Redundant type cast;JAVA;LOCAL;0.03;0.22%;0;54
NewClassNamingConvention;Java/Naming conventions/Class;Class naming convention;JAVA;LOCAL;0.02;0.15%;1;54
OverwrittenKey;Java/Probable bugs;Overwritten Map, Set, or array element;JAVA;LOCAL;0.02;0.14%;0;53
