[0.484s][info][gc,start    ] GC(1) Pause Young (Normal) (G1 Evacuation Pause)
[0.485s][info][gc,task     ] GC(1) Using 3 workers of 8 for evacuation
[0.488s][info][gc,phases   ] GC(1)   Pre Evacuate Collection Set: 0.07ms
[0.488s][info][gc,phases   ] GC(1)   Merge Heap Roots: 0.04ms
[0.488s][info][gc,phases   ] GC(1)   Evacuate Collection Set: 2.56ms
[0.488s][info][gc,phases   ] GC(1)   Post Evacuate Collection Set: 0.24ms
[0.488s][info][gc,phases   ] GC(1)   Other: 0.07ms
[0.488s][info][gc,heap     ] GC(1) Eden regions: 1->0(1)
[0.488s][info][gc,heap     ] GC(1) Survivor regions: 1->1(1)
[0.488s][info][gc,heap     ] GC(1) Old regions: 1->2
[0.488s][info][gc,heap     ] GC(1) Humongous regions: 0->0
[0.488s][info][gc,metaspace] GC(1) Metaspace: 2163K(2368K)->2163K(2368K) NonClass: 2078K(2176K)->2078K(2176K) Class: 84K(192K)->84K(192K)
[0.488s][info][gc          ] GC(1) Pause Young (Normal) (G1 Evacuation Pause) 31M->23M(144M) 3.566ms
[0.488s][info][gc,cpu      ] GC(1) User=0.00s Sys=0.00s Real=0.00s
[0.523s][info][gc,start    ] GC(2) Pause Young (Normal) (G1 Evacuation Pause)
[0.523s][info][gc,task     ] GC(2) Using 3 workers of 8 for evacuation
[0.525s][info][gc,phases   ] GC(2)   Pre Evacuate Collection Set: 0.07ms
[0.525s][info][gc,phases   ] GC(2)   Merge Heap Roots: 0.03ms
[0.525s][info][gc,phases   ] GC(2)   Evacuate Collection Set: 1.08ms
[0.525s][info][gc,phases   ] GC(2)   Post Evacuate Collection Set: 0.18ms
[0.525s][info][gc,phases   ] GC(2)   Other: 0.06ms
[0.525s][info][gc,heap     ] GC(2) Eden regions: 1->0(1)
[0.525s][info][gc,heap     ] GC(2) Survivor regions: 1->1(1)
[0.525s][info][gc,heap     ] GC(2) Old regions: 2->3
[0.525s][info][gc,heap     ] GC(2) Humongous regions: 0->0
[0.525s][info][gc,metaspace] GC(2) Metaspace: 2237K(2432K)->2237K(2432K) NonClass: 2151K(2240K)->2151K(2240K) Class: 85K(192K)->85K(192K)
[0.525s][info][gc          ] GC(2) Pause Young (Normal) (G1 Evacuation Pause) 39M->25M(144M) 1.877ms
[0.525s][info][gc,cpu      ] GC(2) User=0.01s Sys=0.00s Real=0.00s
[0.771s][info][gc,start    ] GC(3) Pause Young (Normal) (G1 Evacuation Pause)
[0.772s][info][gc,task     ] GC(3) Using 6 workers of 8 for evacuation
[0.774s][info][gc,phases   ] GC(3)   Pre Evacuate Collection Set: 0.07ms
[0.774s][info][gc,phases   ] GC(3)   Merge Heap Roots: 0.03ms
[0.774s][info][gc,phases   ] GC(3)   Evacuate Collection Set: 1.34ms
[0.774s][info][gc,phases   ] GC(3)   Post Evacuate Collection Set: 0.64ms
[0.774s][info][gc,phases   ] GC(3)   Other: 0.30ms
[0.774s][info][gc,heap     ] GC(3) Eden regions: 1->0(2)
[0.774s][info][gc,heap     ] GC(3) Survivor regions: 1->1(1)
[0.774s][info][gc,heap     ] GC(3) Old regions: 3->3
[0.774s][info][gc,heap     ] GC(3) Humongous regions: 0->0
