# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
FlushQueue.tasksExecuted,1771494655205000000,1771494715236000000,4141
FlushQueue.queueSizeAvg,1771494655205000000,1771494715236000000,0.5020526442888191
WriteAction.executionsCount,1771494655205000000,1771494715236000000,74
FlushQueue.waitingTimeMaxNs,1771494655205000000,1771494715236000000,499122175
FlushQueue.waitingTimeAvgNs,1771494655205000000,1771494715236000000,3966791.0127988406
NonBlockingReadAction.failedExecutionsCount,1771494655205000000,1771494715236000000,3
NonBlockingReadAction.finalizedExecutionsCount,1771494655205000000,1771494715236000000,91
FlushQueue.waitingTime90PNs,1771494655205000000,1771494715236000000,1023999
AWTEventQueue.dispatchTime90PNs,1771494655205000000,1771494715236000000,177151
FlushQueue.queueSize90P,1771494655205000000,1771494715236000000,1
FlushQueue.executionTimeAvgNs,1771494655205000000,1771494715236000000,6226443.88698382
ReadAction.executionsCount,1771494655205000000,1771494715236000000,367484
FlushQueue.queueSizeMax,1771494655205000000,1771494715236000000,26
NonBlockingReadAction.failedExecutionTimeUs,1771494655205000000,1771494715236000000,217441
AWTEventQueue.dispatchTimeMaxNs,1771494655205000000,1771494715236000000,459276287
AWTEventQueue.dispatchTimeAvgNs,1771494655205000000,1771494715236000000,393581.73659069196
NonBlockingReadAction.finalizedExecutionTimeUs,1771494655205000000,1771494715236000000,455702
AWTEventQueue.eventsDispatched,1771494655205000000,1771494715236000000,7327
AWTEventQueue.dispatchTimeTotalNS,1771494655205000000,1771494715236000000,2884419075
FlushQueue.executionTime90PNs,1771494655205000000,1771494715236000000,143359
FlushQueue.executionTimeMaxNs,1771494655205000000,1771494715236000000,22817013759
workspaceModel.mutableEntityStorage.add.entity.ms,1771494655205000000,1771494715236000000,99
jps.storage.jps.conf.reader.load.component.ms,1771494655205000000,1771494715236000000,7
jps.apply.loaded.storage.ms,1771494655205000000,1771494715236000000,85
jps.reload.project.entities.ms,1771494655205000000,1771494715236000000,0
workspaceModel.mutableEntityStorage.remove.entity.ms,1771494655205000000,1771494715236000000,11
workspaceModel.moduleManagerBridge.create.module.instance.ms,1771494655205000000,1771494715236000000,7
workspaceModel.mutableEntityStorage.replace.by.source.ms,1771494655205000000,1771494715236000000,25
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1771494655205000000,1771494715236000000,0
workspaceModel.load.cache.from.file.ms,1771494655205000000,1771494715236000000,1
workspaceModel.moduleBridgeLoader.loading.modules.ms,1771494655205000000,1771494715236000000,170
workspaceModel.mutableEntityStorage.modify.entity.ms,1771494655205000000,1771494715236000000,81
workspaceModel.moduleManagerBridge.build.module.graph.ms,1771494655205000000,1771494715236000000,1
jps.modifiable.module.model.bridge.disposing.ms,1771494655205000000,1771494715236000000,0
jps.modifiable.module.model.bridge.renaming.ms,1771494655205000000,1771494715236000000,0
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1771494655205000000,1771494715236000000,0
workspaceModel.sync.entities.ms,1771494655205000000,1771494715236000000,2
workspaceModel.mutableEntityStorage.referrers.ms,1771494655205000000,1771494715236000000,1
jps.facet.change.listener.before.change.events.ms,1771494655205000000,1771494715236000000,0
workspaceModel.mutableEntityStorage.mutable.vfurl.index.ms,1771494655205000000,1771494715236000000,0
workspaceModel.global.updates.count,1771494655205000000,1771494715236000000,3
jps.library.entities.serializer.save.entities.ms,1771494655205000000,1771494715236000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1771494655205000000,1771494715236000000,1
jps.global.handle.changed.events.ms,1771494655205000000,1771494715236000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1771494655205000000,1771494715236000000,5
workspaceModel.mutableEntityStorage.resolve.ms,1771494655205000000,1771494715236000000,1
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1771494655205000000,1771494715236000000,10
jps.global.initialize.library.bridges.after.loading.ms,1771494655205000000,1771494715236000000,1
workspaceModel.save.cache.to.file.ms,1771494655205000000,1771494715236000000,300
jps.artifact.entities.serializer.load.entities.ms,1771494655205000000,1771494715236000000,2
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedParent.ms,1771494655205000000,1771494715236000000,0
jps.facet.change.listener.process.change.events.ms,1771494655205000000,1771494715236000000,0
workspaceModel.global.apply.state.to.project.ms,1771494655205000000,1771494715236000000,27
jps.project.serializers.save.ms,1771494655205000000,1771494715236000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1771494655205000000,1771494715236000000,0
jps.load.project.to.empty.storage.ms,1771494655205000000,1771494715236000000,148
jps.modifiable.module.model.bridge.new.module.ms,1771494655205000000,1771494715236000000,13
workspaceModel.mutableEntityStorage.to.snapshot.ms,1771494655205000000,1771494715236000000,6
jps.global.get.libraries.ms,1771494655205000000,1771494715236000000,0
