# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
StorageLockContext.competingThreads.90P,1771492772083000000,1771492832163000000,0
MappedFileStorage.storages,1771492772083000000,1771492832163000000,16
DirectByteBufferAllocator.disposed,1771492772083000000,1771492832163000000,0
FilePageCache.disposedBuffers,1771492772083000000,1771492832163000000,514
FileChannelInterruptsRetryer.totalRetriedAttempts,1771492772083000000,1771492832163000000,0
FilePageCache.pageHits,1771492772083000000,1771492832163000000,0
FilePageCache.maxRegisteredFiles,1771492772083000000,1771492832163000000,1824
FilePageCache.totalPageLoadsUs,1771492772083000000,1771492832163000000,649948
FilePageCache.maxCacheSizeInBytes,1771492772083000000,1771492832163000000,629145600
FilePageCache.pageLoadsAboveSizeThreshold,1771492772083000000,1771492832163000000,512
FilePageCache.pageFastCacheHits,1771492772083000000,1771492832163000000,3154756
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1771492772083000000,1771492832163000000,6710537
FilePageCache.totalPageDisposalsUs,1771492772083000000,1771492832163000000,929
MappedFileStorage.totalBytesMapped,1771492772083000000,1771492832163000000,202637312
StorageLockContext.competingThreads.max,1771492772083000000,1771492832163000000,0
StorageLockContext.competingThreads.avg,1771492772083000000,1771492832163000000,0.0
FilePageCache.uncachedFileAccess,1771492772083000000,1771492832163000000,1998
FilePageCache.pageLoads,1771492772083000000,1771492832163000000,602
StreamlinedBlobStorage.recordsAllocated,1771492772083000000,1771492832163000000,69046
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1771492772083000000,1771492832163000000,3616205
FilePageCache.capacityInBytes,1771492772083000000,1771492832163000000,629145600
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1771492772083000000,1771492832163000000,630194176
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1771492772083000000,1771492832163000000,1048576
MappedFileStorage.totalTimeSpentOnMappingUs,1771492772083000000,1771492832163000000,253278
DirectByteBufferAllocator.hits,1771492772083000000,1771492832163000000,513
StreamlinedBlobStorage.recordsDeleted,1771492772083000000,1771492832163000000,19
StreamlinedBlobStorage.recordsRelocated,1771492772083000000,1771492832163000000,0
DirectByteBufferAllocator.reclaimed,1771492772083000000,1771492832163000000,514
MappedFileStorage.totalPagesMapped,1771492772083000000,1771492832163000000,16
DirectByteBufferAllocator.misses,1771492772083000000,1771492832163000000,601
compiler.ArtifactModifiableModelBridge.findArtifacts.ms,1771492772083000000,1771492832163000000,0
compiler.ArtifactManagerBridge.commit.ms,1771492772083000000,1771492832163000000,2
compiler.ArtifactManagerBridge.addArtifact.ms,1771492772083000000,1771492832163000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1771492772083000000,1771492832163000000,0
compiler.ArtifactModifiableModelBridge.getArtifactsByType.ms,1771492772083000000,1771492832163000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1771492772083000000,1771492832163000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1771492772083000000,1771492832163000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1771492772083000000,1771492832163000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1771492772083000000,1771492832163000000,0
compiler.ArtifactModifiableModelBridge.addArtifact.ms,1771492772083000000,1771492832163000000,0
compiler.ArtifactModifiableModelBridge.commit.ms,1771492772083000000,1771492832163000000,2
compiler.ArtifactModifiableModelBridge.dispose.ms,1771492772083000000,1771492832163000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1771492772083000000,1771492832163000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1771492772083000000,1771492832163000000,0
compiler.ArtifactModifiableModelBridge.getArtifacts.ms,1771492772083000000,1771492832163000000,0
jps.global.initialize.library.bridges.after.loading.ms,1771492772083000000,1771492832163000000,1
workspaceModel.mutableEntityStorage.add.entity.ms,1771492772083000000,1771492832163000000,104
workspaceModel.mutableEntityStorage.instances.count,1771492772083000000,1771492832163000000,86
workspaceModel.mutableEntityStorage.entities.by.source.ms,1771492772083000000,1771492832163000000,1
workspaceModel.moduleManagerBridge.build.module.graph.ms,1771492772083000000,1771492832163000000,1
workspaceModel.mutableEntityStorage.remove.entity.ms,1771492772083000000,1771492832163000000,8
workspaceModel.global.updates.ms,1771492772083000000,1771492832163000000,24
jps.global.get.libraries.ms,1771492772083000000,1771492832163000000,0
workspaceModel.mutableEntityStorage.modify.entity.ms,1771492772083000000,1771492832163000000,77
jps.modifiable.module.model.bridge.new.module.ms,1771492772083000000,1771492832163000000,11
jps.module.iml.entities.serializer.save.entities.ms,1771492772083000000,1771492832163000000,0
jps.storage.jps.conf.reader.load.component.ms,1771492772083000000,1771492832163000000,7
workspaceModel.moduleManagerBridge.get.modules.ms,1771492772083000000,1771492832163000000,0
jps.modifiable.module.model.bridge.disposing.ms,1771492772083000000,1771492832163000000,0
jps.project.serializers.load.ms,1771492772083000000,1771492832163000000,49
jps.artifact.entities.serializer.load.entities.ms,1771492772083000000,1771492832163000000,2
workspaceModel.moduleManagerBridge.load.all.modules.ms,1771492772083000000,1771492832163000000,3
workspaceModel.orphan.listener.update.ms,1771492772083000000,1771492832163000000,6
jps.save.global.entities.ms,1771492772083000000,1771492832163000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1771492772083000000,1771492832163000000,4
workspaceModel.moduleBridgeLoader.loading.modules.ms,1771492772083000000,1771492832163000000,124
workspaceModel.moduleBridge.before.changed.ms,1771492772083000000,1771492832163000000,0
