# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
workspaceModel.replace.project.model.ms,1772806456373000000,1772806516468000000,48
workspaceModel.workspaceFileIndexData.onEntitiesChanged.ms,1772806456373000000,1772806516468000000,29
workspaceModel.init.bridges.ms,1772806456373000000,1772806516468000000,18
workspaceModel.workspaceFileIndexData.instances.count,1772806456373000000,1772806516468000000,1
workspaceModel.initializing.ms,1772806456373000000,1772806516468000000,12
workspaceModel.updates.precise.ms,1772806456373000000,1772806516468000000,22
workspaceModel.on.changed.ms,1772806456373000000,1772806516468000000,98
workspaceModel.check.recursive.update.ms,1772806456373000000,1772806516468000000,2
workspaceModel.workspaceFileIndexData.getFileInfo.ms,1772806456373000000,1772806516468000000,360
workspaceModel.workspaceFileIndexData.processFileSets.ms,1772806456373000000,1772806516468000000,0
workspaceModel.update.unloaded.entities.ms,1772806456373000000,1772806516468000000,0
workspaceModel.workspaceFileIndexData.getDirectoriesByPackageName.ms,1772806456373000000,1772806516468000000,0
workspaceModel.cachedValue.from.cache.count,1772806456373000000,1772806516468000000,8374
workspaceModel.loading.from.cache.ms,1772806456373000000,1772806516468000000,1
workspaceModel.cachedValueWithParameters.calculated.count,1772806456373000000,1772806516468000000,0
workspaceModel.workspaceFileIndexContributor.registerFileSets.ms,1772806456373000000,1772806516468000000,26
workspaceModel.cachedValueWithParameters.total.get.count,1772806456373000000,1772806516468000000,0
workspaceModel.on.before.changed.ms,1772806456373000000,1772806516468000000,46
workspaceModel.loading.total.ms,1772806456373000000,1772806516468000000,3
workspaceModel.workspaceFileIndexData.init.ms,1772806456373000000,1772806516468000000,3
workspaceModel.workspaceFileIndexData.getPackageName.ms,1772806456373000000,1772806516468000000,0
workspaceModel.workspaceFileIndexData.updateDirtyEntities.ms,1772806456373000000,1772806516468000000,0
workspaceModel.cachedValueWithParameters.from.cache.count,1772806456373000000,1772806516468000000,0
workspaceModel.to.snapshot.ms,1772806456373000000,1772806516468000000,0
workspaceModel.cachedValue.total.get.count,1772806456373000000,1772806516468000000,8437
workspaceModel.entityStorageSnapshotImpl.instances.count,1772806456373000000,1772806516468000000,43
workspaceModel.cachedValue.clear.count,1772806456373000000,1772806516468000000,2
workspaceModel.cachedValue.calculated.count,1772806456373000000,1772806516468000000,63
workspaceModel.workspaceFileIndexData.visitFileSets.ms,1772806456373000000,1772806516468000000,159
workspaceModel.pre.handlers.ms,1772806456373000000,1772806516468000000,1
workspaceModel.full.replace.project.model.ms,1772806456373000000,1772806516468000000,49
workspaceModel.updates.ms,1772806456373000000,1772806516468000000,120
workspaceModel.workspaceFileIndexData.markDirty.ms,1772806456373000000,1772806516468000000,0
workspaceModel.cachedValueWithParameters.clear.count,1772806456373000000,1772806516468000000,0
workspaceModel.collect.changes.ms,1772806456373000000,1772806516468000000,0
workspaceModel.updates.count,1772806456373000000,1772806516468000000,9
compiler.ArtifactManagerBridge.commit.ms,1772806456373000000,1772806516468000000,0
compiler.ArtifactManagerBridge.getArtifactsByType.ms,1772806456373000000,1772806516468000000,0
compiler.ArtifactManagerBridge.getArtifacts.ms,1772806456373000000,1772806516468000000,0
compiler.ArtifactManagerBridge.dropMappings.ms,1772806456373000000,1772806516468000000,0
compiler.ArtifactManagerBridge.addArtifact.ms,1772806456373000000,1772806516468000000,0
compiler.ArtifactVirtualFileListener.propertyChanged.ms,1772806456373000000,1772806516468000000,0
compiler.ArtifactManagerBridge.initBridges.ms,1772806456373000000,1772806516468000000,0
compiler.ArtifactManagerBridge.findArtifact.ms,1772806456373000000,1772806516468000000,0
compiler.ArtifactVirtualFileListener.filePathChanged.ms,1772806456373000000,1772806516468000000,0
VFS.fileByIdCache.misses,1772806456373000000,1772806516468000000,0
VFS.contentStorage.recordsDecompressionTimeUs,1772806456373000000,1772806516468000000,12805
VFS.invertedFileNameIndex.requests,1772806456373000000,1772806516468000000,0
VFS.contentStorage.recordsUncompressedSize,1772806456373000000,1772806516468000000,574171
VFS.rootsCount,1772806456373000000,1772806516468000000,72.0
VFS.contentStorage.recordsStored,1772806456373000000,1772806516468000000,47
VFS.folderCaseSensitivityReads,1772806456373000000,1772806516468000000,307
VFS.fileByIdCache.hits,1772806456373000000,1772806516468000000,0
VFS.fileChildByName,1772806456373000000,1772806516468000000,11301
FileNameCache.totalMisses,1772806456373000000,1772806516468000000,28800
VFS.cache.segmentsCreated,1772806456373000000,1772806516468000000,155
FileNameCache.queries,1772806456373000000,1772806516468000000,3751232
VFS.cache.filesCreated,1772806456373000000,1772806516468000000,96963
VFS.contentStorage.recordsReadDecompressed,1772806456373000000,1772806516468000000,14
VFS.contentStorage.recordsReadSize,1772806456373000000,1772806516468000000,1285459
VFS.contentStorage.recordsStoredSize,1772806456373000000,1772806516468000000,288333
VFS.contentStorage.recordsStoredCompressed,1772806456373000000,1772806516468000000,8
VFS.contentStorage.recordsDeduplicated,1772806456373000000,1772806516468000000,19
VFS.contentStorage.recordsRead,1772806456373000000,1772806516468000000,35
VFS.cache.directoriesCreated,1772806456373000000,1772806516468000000,4051
VFS.cache.segments,1772806456373000000,1772806516468000000,155.0
parser.Flow.JS.size.bytes,1772806456373000000,1772806516468000000,140172
lexer.XML.size.bytes,1772806456373000000,1772806516468000000,6673
parser.ECMAScript.6.size.bytes,1772806456373000000,1772806516468000000,26642154
parser.Flow.JS.time.ns,1772806456373000000,1772806516468000000,476477334
DiskQueryRelay.tasksExecuted,1772806456373000000,1772806516468000000,43684
lexer.Lombok.Config.time.ns,1772806456373000000,1772806516468000000,104125
lexer.HTML.time.ns,1772806456373000000,1772806516468000000,848878873
parser.Groovy.time.ns,1772806456373000000,1772806516468000000,88101418
lexer.SCSS.size.bytes,1772806456373000000,1772806516468000000,21698
parser.CSS.size.bytes,1772806456373000000,1772806516468000000,11459976
DiskQueryRelay.taskWaitingTotalTimeUs,1772806456373000000,1772806516468000000,10647971
lexer.Flow.JS.time.ns,1772806456373000000,1772806516468000000,35582665
writeAction.count,1772806456373000000,1772806516468000000,30
LowMemory.gcOverloaded,1772806456373000000,1772806516468000000,0
lexer.Groovy.size.bytes,1772806456373000000,1772806516468000000,8010
parser.JSON.time.ns,1772806456373000000,1772806516468000000,7163958
writeAction.median.wait.ms,1772806456373000000,1772806516468000000,100
lexer.SCSS.time.ns,1772806456373000000,1772806516468000000,4119333
parser.JAVA.size.bytes,1772806456373000000,1772806516468000000,230286
parser.Groovy.size.bytes,1772806456373000000,1772806516468000000,8010
lexer.HTML.size.bytes,1772806456373000000,1772806516468000000,6748622
lexer.JSON.time.ns,1772806456373000000,1772806516468000000,2950125
parser.JSON.size.bytes,1772806456373000000,1772806516468000000,503
lexer.ECMAScript.6.time.ns,1772806456373000000,1772806516468000000,157249291
DiskQueryRelay.tasksRequested,1772806456373000000,1772806516468000000,43684
lexer.ECMAScript.6.size.bytes,1772806456373000000,1772806516468000000,7965108
parser.Lombok.Config.size.bytes,1772806456373000000,1772806516468000000,137
parser.HTML.size.bytes,1772806456373000000,1772806516468000000,6748622
parser.SCSS.size.bytes,1772806456373000000,1772806516468000000,21698
lexer.JAVA.size.bytes,1772806456373000000,1772806516468000000,150826
parser.ECMAScript.6.time.ns,1772806456373000000,1772806516468000000,1235996783
parser.SCSS.time.ns,1772806456373000000,1772806516468000000,54106339
LowMemory.gcLoad,1772806456373000000,1772806516468000000,0.0
lexer.JSON.size.bytes,1772806456373000000,1772806516468000000,503
parser.Lombok.Config.time.ns,1772806456373000000,1772806516468000000,225584
lexer.Lombok.Config.size.bytes,1772806456373000000,1772806516468000000,137
lexer.Flow.JS.size.bytes,1772806456373000000,1772806516468000000,140172
parser.JAVA.time.ns,1772806456373000000,1772806516468000000,185230483
writeAction.max.wait.ms,1772806456373000000,1772806516468000000,119
writeAction.wait.ms,1772806456373000000,1772806516468000000,210
lexer.CSS.time.ns,1772806456373000000,1772806516468000000,286877166
lexer.Groovy.time.ns,1772806456373000000,1772806516468000000,2233877
parser.CSS.time.ns,1772806456373000000,1772806516468000000,812290895
lexer.CSS.size.bytes,1772806456373000000,1772806516468000000,11459976
parser.HTML.time.ns,1772806456373000000,1772806516468000000,644531457
lexer.XML.time.ns,1772806456373000000,1772806516468000000,1046500
parser.XML.size.bytes,1772806456373000000,1772806516468000000,6673
parser.XML.time.ns,1772806456373000000,1772806516468000000,4074375
lexer.JAVA.time.ns,1772806456373000000,1772806516468000000,23888997
DiskQueryRelay.taskExecutionTotalTimeUs,1772806456373000000,1772806516468000000,8732697
MappedFileStorage.totalPagesMapped,1772806456373000000,1772806516468000000,16
StorageLockContext.competingThreads.max,1772806456373000000,1772806516468000000,0
DirectByteBufferAllocator.misses,1772806456373000000,1772806516468000000,601
FilePageCache.pageHits,1772806456373000000,1772806516468000000,0
FilePageCache.totalPageLoadsUs,1772806456373000000,1772806516468000000,397122
MappedFileStorage.storages,1772806456373000000,1772806516468000000,16
DirectByteBufferAllocator.hits,1772806456373000000,1772806516468000000,209
StorageLockContext.competingThreads.90P,1772806456373000000,1772806516468000000,0
DirectByteBufferAllocator.disposed,1772806456373000000,1772806516468000000,0
DirectByteBufferAllocator.totalSizeOfBuffersCachedInBytes,1772806456373000000,1772806516468000000,1048576
FilePageCache.disposedBuffers,1772806456373000000,1772806516468000000,210
MappedFileStorage.totalTimeSpentOnMappingUs,1772806456373000000,1772806516468000000,170039
MappedFileStorage.totalBytesMapped,1772806456373000000,1772806516468000000,202637312
StreamlinedBlobStorage.recordsDeleted,1772806456373000000,1772806516468000000,14
StreamlinedBlobStorage.recordsRelocated,1772806456373000000,1772806516468000000,0
StreamlinedBlobStorage.totalLiveRecordsCapacityBytes,1772806456373000000,1772806516468000000,6022085
FilePageCache.maxRegisteredFiles,1772806456373000000,1772806516468000000,1824
StreamlinedBlobStorage.recordsAllocated,1772806456373000000,1772806516468000000,62060
FilePageCache.maxCacheSizeInBytes,1772806456373000000,1772806516468000000,629145600
FilePageCache.totalPageDisposalsUs,1772806456373000000,1772806516468000000,1141
DirectByteBufferAllocator.totalSizeOfBuffersAllocatedInBytes,1772806456373000000,1772806516468000000,630194176
FilePageCache.pageFastCacheHits,1772806456373000000,1772806516468000000,2105787
FileChannelInterruptsRetryer.totalRetriedAttempts,1772806456373000000,1772806516468000000,0
StorageLockContext.competingThreads.avg,1772806456373000000,1772806516468000000,0.0
FilePageCache.pageLoadsAboveSizeThreshold,1772806456373000000,1772806516468000000,208
DirectByteBufferAllocator.reclaimed,1772806456373000000,1772806516468000000,210
FilePageCache.pageLoads,1772806456373000000,1772806516468000000,602
FilePageCache.capacityInBytes,1772806456373000000,1772806516468000000,629145600
StreamlinedBlobStorage.totalLiveRecordsPayloadBytes,1772806456373000000,1772806516468000000,3325469
FilePageCache.uncachedFileAccess,1772806456373000000,1772806516468000000,1225
JVM.totalTimeAtSafepointsMs,1772806456373000000,1772806516468000000,585
MEM.fileMappingsRamBytes,1772806456373000000,1772806516468000000,655851520
JVM.GC.collectionTimesMs,1772806456373000000,1772806516468000000,441
JVM.usedHeapBytes,1772806456373000000,1772806516468000000,1112469176
MEM.ramBytes,1772806456373000000,1772806516468000000,3261898752
JVM.newThreadsCount,1772806456373000000,1772806516468000000,398
JVM.maxHeapBytes,1772806456373000000,1772806516468000000,28840034304
JVM.totalDirectByteBuffersBytes,1772806456373000000,1772806516468000000,656852954
JVM.totalBytesAllocated,1772806456373000000,1772806516468000000,10176562792
JVM.threadCount,1772806456373000000,1772806516468000000,138
JVM.committedHeapBytes,1772806456373000000,1772806516468000000,1358954496
JVM.totalTimeToSafepointsMs,1772806456373000000,1772806516468000000,242
MEM.ramPlusSwapMinusFileMappingsBytes,1772806456373000000,1772806516468000000,2606047232
JVM.usedNativeBytes,1772806456373000000,1772806516468000000,373012440
JVM.totalSafepointCount,1772806456373000000,1772806516468000000,376
JVM.GC.collections,1772806456373000000,1772806516468000000,62
JVM.maxThreadCount,1772806456373000000,1772806516468000000,231
MEM.ramMinusFileMappingsBytes,1772806456373000000,1772806516468000000,2606047232
JVM.totalCpuTimeMs,1772806456373000000,1772806516468000000,88320
OS.loadAverage,1772806456373000000,1772806516468000000,4.232421875
cacheStateStorage.get.counter,1772806456373000000,1772806516468000000,18
cacheStateStorage.set.counter,1772806456373000000,1772806516468000000,3
cacheStateStorage.set.duration,1772806456373000000,1772806516468000000,25
cacheStateStorage.get.duration,1772806456373000000,1772806516468000000,0
FlushQueue.executionTimeMaxNs,1772806456373000000,1772806516468000000,53503
FlushQueue.executionTimeAvgNs,1772806456373000000,1772806516468000000,53376.0
FlushQueue.waitingTimeAvgNs,1772806456373000000,1772806516468000000,281600.0
FlushQueue.tasksExecuted,1772806456373000000,1772806516468000000,1
NonBlockingReadAction.failedExecutionsCount,1772806456373000000,1772806516468000000,6
FlushQueue.queueSize90P,1772806456373000000,1772806516468000000,0
AWTEventQueue.eventsDispatched,1772806456373000000,1772806516468000000,2
FlushQueue.waitingTimeMaxNs,1772806456373000000,1772806516468000000,282623
NonBlockingReadAction.failedExecutionTimeUs,1772806456373000000,1772806516468000000,195942
AWTEventQueue.dispatchTime90PNs,1772806456373000000,1772806516468000000,301055
NonBlockingReadAction.finalizedExecutionTimeUs,1772806456373000000,1772806516468000000,239756
NonBlockingReadAction.finalizedExecutionsCount,1772806456373000000,1772806516468000000,41
FlushQueue.queueSizeMax,1772806456373000000,1772806516468000000,0
ReadAction.executionsCount,1772806456373000000,1772806516468000000,249358
FlushQueue.waitingTime90PNs,1772806456373000000,1772806516468000000,282623
WriteAction.executionsCount,1772806456373000000,1772806516468000000,30
FlushQueue.executionTime90PNs,1772806456373000000,1772806516468000000,53503
FlushQueue.queueSizeAvg,1772806456373000000,1772806516468000000,0.0
AWTEventQueue.dispatchTimeTotalNS,1772806456373000000,1772806516468000000,1996601743
AWTEventQueue.dispatchTimeMaxNs,1772806456373000000,1772806516468000000,301055
AWTEventQueue.dispatchTimeAvgNs,1772806456373000000,1772806516468000000,168000.0
Indexing.cache.totalCacheMisses,1772806456373000000,1772806516468000000,807891
Indexing.cache.totalCacheEvicted,1772806456373000000,1772806516468000000,673854
Indexing.totalTimeIndexersSleptMs,1772806456373000000,1772806516468000000,7991
Indexing.writesQueuedMax,1772806456373000000,1772806516468000000,0
Indexing.writer_1.totalTimeSpentWritingMs,1772806456373000000,1772806516468000000,1160
Indexing.cache.totalCacheAccesses,1772806456373000000,1772806516468000000,3611910
Indexing.writer_3.totalTimeSpentWritingMs,1772806456373000000,1772806516468000000,3523
