Directory;Absolute Time spent on Inspection Group 'all', s;Percent of Time spent on Inspection Group 'all';Inspections Problem Count in Group 'all';Times Inspection from Group 'all' was Performed
/data/project;31.66;100.00%;253;31795
/data/project/src;6.25;19.73%;236;17947
/data/project/src/main;6.24;19.70%;236;17902
/data/project/src/main/java/simple;5.63;17.79%;236;17755
/data/project/src/main/java/simple/automation;5.18;16.35%;231;17420
/data/project/src/main/resources;0.61;1.91%;0;147
/data/project/src/main/resources/kuberapp/rest-test;0.57;1.80%;0;138
/data/project/src/main/resources/kuberapp/rest-test/src/main/resources;0.00;0.00%;0;28
/data/project/src/main/resources/kuberapp/rest-test/src/main/resources/deploy;0.00;0.00%;0;18
/data/project/src/main/resources/kuberapp/rest-test/gradle/wrapper;0.00;0.00%;0;10
/data/project/src/test/resources;0.01;0.02%;0;45
/data/project/results-jvm-nightly;4.82;15.22%;0;2069
/data/project/results-jvm-nightly/log;2.81;8.88%;0;1447
/data/project/results-jvm-nightly/log/indexing-diagnostic;0.87;2.74%;0;1091
/data/project/results-jvm-nightly/log/indexing-diagnostic/project.15375f63;0.55;1.74%;0;1073
/data/project/results-jvm-nightly/log/qodana;0.00;0.00%;0;8
/data/project/results-jvm-nightly/report;1.35;4.27%;0;394
/data/project/results-jvm-nightly/report/results;1.35;4.26%;0;283
/data/project/results-jvm-nightly/report/results/projectStructure;0.62;1.96%;0;210
/data/project/results-jvm-nightly/report/results/descriptions;0.48;1.50%;0;9
/data/project/results-jvm-nightly/report/versions/VERSION_ID;0.00;0.01%;0;17
/data/project/results-jvm-nightly/report/versions/VERSION_ID/js;0.00;0.00%;0;8
/data/project/results-jvm-nightly/projectStructure;0.65;2.04%;0;210
/data/project/results-android;4.07;12.84%;0;1825
/data/project/results-android/log;2.35;7.43%;0;1185
/data/project/results-android/log/indexing-diagnostic;0.55;1.75%;0;811
/data/project/results-android/log/indexing-diagnostic/project.15375f63;0.28;0.87%;0;793
/data/project/results-android/log/qodana;0.00;0.00%;0;8
/data/project/results-android/report;1.25;3.96%;0;403
/data/project/results-android/report/results;1.25;3.95%;0;292
/data/project/results-android/report/results/descriptions;0.57;1.79%;0;9
/data/project/results-android/report/results/projectStructure;0.41;1.31%;0;219
/data/project/results-android/report/versions/VERSION_ID;0.00;0.00%;0;17
/data/project/results-android/report/versions/VERSION_ID/js;0.00;0.00%;0;8
/data/project/results-android/projectStructure;0.44;1.40%;0;219
/data/project/results-253-release;3.54;11.19%;0;2015
/data/project/results-253-release/log;1.56;4.92%;0;1393
/data/project/results-253-release/log/indexing-diagnostic;0.83;2.63%;0;1091
/data/project/results-253-release/log/indexing-diagnostic/project.15375f63;0.54;1.69%;0;1073
/data/project/results-253-release/log/qodana;0.00;0.00%;0;8
/data/project/results-253-release/report;1.42;4.49%;0;394
/data/project/results-253-release/report/results;1.42;4.48%;0;283
/data/project/results-253-release/report/results/projectStructure;0.61;1.94%;0;210
/data/project/results-253-release/report/results/descriptions;0.49;1.54%;0;9
