Inspection ID;Inspection Group;Inspection Name;Inspection Language;Inspection Type;Absolute Time spent on Inspection, s;Percent of Time spent on Inspection;Problems Count;Times Inspection was Performed
InjectedReferences;General;Injected references;;LOCAL;21.24;67.10%;0;903
JvmTaintAnalysis;Security;Taint analysis;JVM;LOCAL;1.67;5.27%;0;57
HardcodedPasswords;Security;Hardcoded passwords;;LOCAL;1.58;5.00%;1;903
CheckDependencyLicenses;Dependency analysis;Check dependency licenses;;GLOBAL;1.25;3.96%;0;1
RedundantOperationOnEmptyContainer;Java/Probable bugs;Redundant operation on empty container;JAVA;LOCAL;0.71;2.25%;0;53
DataFlowIssue;Java/Probable bugs;Nullability and data flow problems;JAVA;LOCAL;0.56;1.76%;0;53
UastIncorrectMimeTypeInspection;JVM languages;Incorrect MIME Type declaration;UAST;LOCAL;0.48;1.53%;0;57
DialogTitleCapitalization;Java/Internationalization;Incorrect string capitalization;UAST;LOCAL;0.31;0.97%;0;57
deprecation;Java/Code maturity;Deprecated API usage;UAST;LOCAL;0.30;0.95%;0;58
MaliciousLibrariesLocal;Security;Malicious dependency;;LOCAL;0.30;0.95%;0;908
VulnerableLibrariesLocal;Security;Vulnerable declared dependency;;LOCAL;0.25;0.79%;16;903
WriteOnlyObject;Java/Probable bugs;Write-only object;JAVA;LOCAL;0.23;0.72%;0;53
VulnerableCodeUsages;Security;Vulnerable API usage;UAST;LOCAL;0.20;0.64%;0;2
ObviousNullCheck;Java/Verbose or redundant code constructs;Null-check method is called with obviously non-null argument;JAVA;LOCAL;0.19;0.59%;0;53
UNUSED_IMPORT;Java/Imports;Unused import;JAVA;GLOBAL_SIMPLE;0.17;0.54%;0;785
unchecked;Java/Compiler issues;Unchecked warning;JAVA;LOCAL;0.14;0.43%;1;53
UnnecessaryLocalVariable;Java/Data flow;Redundant local variable;JAVA;LOCAL;0.13;0.41%;1;53
NullableProblems;Java/Probable bugs/Nullability problems;@NotNull/@Nullable problems;JAVA;LOCAL;0.12;0.38%;0;53
UnusedAssignment;Java/Probable bugs;Unused assignment;JAVA;LOCAL;0.12;0.38%;11;53
UnsupportedCharacter;Java/Properties files;Unsupported character;UAST;LOCAL;0.12;0.36%;0;57
ConstantValue;Java/Probable bugs;Constant values;JAVA;LOCAL;0.08;0.26%;4;53
RedundantCast;Java/Verbose or redundant code constructs;Redundant type cast;JAVA;LOCAL;0.08;0.24%;0;53
NonStrictComparisonCanBeEquality;Java/Verbose or redundant code constructs;Non-strict inequality '>=' or '<=' can be replaced with '==';JAVA;LOCAL;0.07;0.23%;0;53
resource;Java/Resource management;AutoCloseable used without 'try'-with-resources;JAVA;LOCAL;0.07;0.22%;0;53
MismatchedQueryAndUpdateOfStringBuilder;Java/Probable bugs;Mismatched query and update of 'StringBuilder';JAVA;LOCAL;0.07;0.21%;0;53
Contract;Java/Probable bugs;Contract issues;JAVA;LOCAL;0.05;0.14%;0;53
DuplicatedCode;General;Duplicated code fragment;;LOCAL;0.04;0.13%;0;910
MismatchedQueryAndUpdateOfCollection;Java/Probable bugs;Mismatched query and update of collection;JAVA;LOCAL;0.04;0.12%;0;53
tainting;JVM languages;Non-safe string is passed to safe method;UAST;LOCAL;0.04;0.12%;0;57
SuspiciousReturnByteInputStream;Java/Probable bugs;Suspicious byte value returned from 'InputStream.read()';JAVA;LOCAL;0.04;0.11%;0;53
removal;Java/Code maturity;Usage of API marked for removal;UAST;LOCAL;0.04;0.11%;0;58
CdiDomBeans;CDI (Contexts and Dependency Injection);Incorrect bean definitions in beans.xml;XML;LOCAL;0.04;0.11%;0;177
preview;Java/Compiler issues;Preview Feature warning;JAVA;LOCAL;0.03;0.10%;0;53
UnresolvedPropertyKey;Java/Properties files;Invalid property key;JAVA;LOCAL;0.03;0.10%;0;53
UnnecessaryStringEscape;Java/Verbose or redundant code constructs;Unnecessarily escaped character;JAVA;LOCAL;0.03;0.09%;0;53
MagicConstant;Java/Probable bugs;Magic constant;JAVA;LOCAL;0.03;0.09%;0;53
ExtractMethodRecommender;Java/Code maturity;Method can be extracted;JAVA;LOCAL;0.03;0.09%;1;53
