# OpenTelemetry Metrics report: .csv, 4 fields: 
# <metric name>, <period start, nanoseconds>, <period end, nanoseconds>, <metric value>
# See CsvMetricsExporter for details.
# 
# NAME, PERIOD_START_NANOS, PERIOD_END_NANOS, VALUE
jps.facet.change.listener.before.change.events.ms,1772021563380000000,1772021623561000000,0
jps.library.entities.serializer.save.entities.ms,1772021563380000000,1772021623561000000,0
jps.global.get.libraries.ms,1772021563380000000,1772021623561000000,1
jps.global.get.library.by.name.ms,1772021563380000000,1772021623561000000,0
jps.module.iml.entities.serializer.save.entities.ms,1772021563380000000,1772021623561000000,0
workspaceModel.moduleManagerBridge.build.module.graph.ms,1772021563380000000,1772021623561000000,2
workspaceModel.delayed.project.synchronizer.sync.ms,1772021563380000000,1772021623561000000,0
workspaceModel.save.cache.to.file.ms,1772021563380000000,1772021623561000000,225
jps.library.entities.serializer.load.entities.ms,1772021563380000000,1772021623561000000,2
workspaceModel.sync.entities.ms,1772021563380000000,1772021623561000000,3
jps.reload.project.entities.ms,1772021563380000000,1772021623561000000,0
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewParent.ms,1772021563380000000,1772021623561000000,0
workspaceModel.mutableEntityStorage.to.snapshot.ms,1772021563380000000,1772021623561000000,0
workspaceModel.moduleBridge.update.option.ms,1772021563380000000,1772021623561000000,0
workspaceModel.mutableEntityStorage.collect.changes.ms,1772021563380000000,1772021623561000000,0
jps.apply.loaded.storage.ms,1772021563380000000,1772021623561000000,61
workspaceModel.mutableEntityStorage.entities.by.source.ms,1772021563380000000,1772021623561000000,1
workspaceModel.moduleManagerBridge.newModule.ms,1772021563380000000,1772021623561000000,42
jps.save.global.entities.ms,1772021563380000000,1772021623561000000,0
workspaceModel.mutableEntityStorage.replace.by.source.ms,1772021563380000000,1772021623561000000,22
workspaceModel.mutableEntityStorage.modify.entity.ms,1772021563380000000,1772021623561000000,29
workspaceModel.global.updates.count,1772021563380000000,1772021623561000000,3
jps.modifiable.module.model.bridge.load.module.ms,1772021563380000000,1772021623561000000,0
jps.storage.jps.conf.reader.load.component.ms,1772021563380000000,1772021623561000000,9
jps.global.initialize.library.bridges.ms,1772021563380000000,1772021623561000000,0
jps.modifiable.module.model.bridge.renaming.ms,1772021563380000000,1772021623561000000,0
workspaceModel.load.cache.metadata.from.file.ms,1772021563380000000,1772021623561000000,0
workspaceModel.moduleBridge.facet.initialization.ms,1772021563380000000,1772021623561000000,0
jps.artifact.entities.serializer.load.entities.ms,1772021563380000000,1772021623561000000,2
workspaceModel.global.apply.state.to.project.builder.ms,1772021563380000000,1772021623561000000,5
workspaceModel.mutableEntityStorage.apply.changes.from.ms,1772021563380000000,1772021623561000000,13
workspaceModel.mutableEntityStorage.has.same.entities.ms,1772021563380000000,1772021623561000000,3
jps.app.storage.content.reader.load.component.ms,1772021563380000000,1772021623561000000,1
jps.facet.change.listener.process.change.events.ms,1772021563380000000,1772021623561000000,0
workspaceModel.moduleManagerBridge.create.module.instance.ms,1772021563380000000,1772021623561000000,17
jps.global.handle.changed.events.ms,1772021563380000000,1772021623561000000,0
jps.save.changed.project.entities.ms,1772021563380000000,1772021623561000000,0
workspaceModel.global.updates.ms,1772021563380000000,1772021623561000000,19
jps.load.project.to.empty.storage.ms,1772021563380000000,1772021623561000000,122
workspaceModel.global.apply.state.to.project.ms,1772021563380000000,1772021623561000000,7
jps.global.get.library.ms,1772021563380000000,1772021623561000000,0
workspaceModel.moduleManagerBridge.new.nonPersistent.module.ms,1772021563380000000,1772021623561000000,0
jps.load.initial.state.ms,1772021563380000000,1772021623561000000,10
workspaceModel.mutableEntityStorage.add.entity.ms,1772021563380000000,1772021623561000000,84
jps.project.serializers.load.ms,1772021563380000000,1772021623561000000,56
workspaceModel.moduleManagerBridge.set.unloadedModules.ms,1772021563380000000,1772021623561000000,0
workspaceModel.mutableEntityStorage.mutable.ext.mapping.ms,1772021563380000000,1772021623561000000,1
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForRemovedChild.ms,1772021563380000000,1772021623561000000,0
jps.modifiable.module.model.bridge.new.module.ms,1772021563380000000,1772021623561000000,24
jps.facet.change.listener.init.bridge.ms,1772021563380000000,1772021623561000000,1
jps.module.iml.entities.serializer.load.entities.ms,1772021563380000000,1772021623561000000,32
jps.global.initialize.library.bridges.after.loading.ms,1772021563380000000,1772021623561000000,1
workspaceModel.mutableEntityStorage.remove.entity.ms,1772021563380000000,1772021623561000000,3
jps.module.dependency.index.workspace.model.listener.on.changed.ms,1772021563380000000,1772021623561000000,2
workspaceModel.moduleBridgeLoader.loading.modules.ms,1772021563380000000,1772021623561000000,12
workspaceModel.mutableEntityStorage.instances.count,1772021563380000000,1772021623561000000,68
workspaceModel.orphan.listener.update.ms,1772021563380000000,1772021623561000000,4
workspaceModel.mutableEntityStorage.changeLog.addReplaceEventForNewChild.ms,1772021563380000000,1772021623561000000,7
